row_id,appendix_table,source_group,descriptive_name,author_market_code,source_exchange,source_currency,source_multiplier,first_source_year,provider_name,provider_symbol,provider_exchange,provider_currency,provider_multiplier,provider_contract_family,provider_instrument_status,provider_mapping_status,provider_mapping_review_status,local_canonical_instrument_id,contract_identity_status,contract_identity_review_status,normalized_exchange,exchange_evidence_reference,normalized_currency,currency_evidence_reference,contract_family,contract_family_evidence_reference,contract_variant,variant_evidence_reference,multiplier_semantics,multiplier_value,multiplier_evidence_reference,point_value,tick_size,tick_value,tick_value_evidence_reference,active_status,active_status_evidence_reference,delivery_cycle_status,delivery_cycle_summary,delivery_cycle_evidence_reference,local_identity_block_reason,substitution_status,market_data_rows_included,provider_api_accessed,ninjatrader_export_used,production_contract_identity_lock_status,notes
APPENDIX_C_172_001,172,US bond and interest rate futures,2-year US,ZT,ECBOT,USD,2000,2000,NinjaTrader static MasterInstruments,ZT,CBOT|UT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,2000.0,2-Year T-Note Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_001_ZT,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,2-Year T-Note Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,2000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,2000.0,0.00390625,7.8125,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_002,172,US bond and interest rate futures,3-year US,Z3N,ECBOT,USD,2000,2020,NinjaTrader static MasterInstruments,Z3N,CBOT|ECBOT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,2000.0,3-Year T-Note Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_002_Z3N,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,3-Year T-Note Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,2000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,2000.0,0.0078125,15.625,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_003,172,US bond and interest rate futures,5-year US,ZF,ECBOT,USD,1000,1989,NinjaTrader static MasterInstruments,ZF,CBOT|UT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,5-Year T-Note Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_003_ZF,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,5-Year T-Note Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.0078125,7.8125,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_004,172,US bond and interest rate futures,10-year US,ZN,ECBOT,USD,1000,1982,NinjaTrader static MasterInstruments,ZN,CBOT|UT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,10-Year T-Note Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_004_ZN,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,10-Year T-Note Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.015625,15.625,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_005,172,US bond and interest rate futures,10-year Ultra US,TN,ECBOT,USD,1000,2016,NinjaTrader static MasterInstruments,TN,CBOT,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,Ultra 10-Year U.S. Treasury Note Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_005_TN,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,Ultra 10-Year U.S. Treasury Note Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,ultra,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.015625,15.625,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_006,172,US bond and interest rate futures,20-year US,ZB,ECBOT,USD,1000,1978,NinjaTrader static MasterInstruments,ZB,CBOT|UT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,U.S. Treasury Bond Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_006_ZB,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,U.S. Treasury Bond Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.03125,31.25,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_007,172,US bond and interest rate futures,30-year US,UB,ECBOT,USD,1000,2010,NinjaTrader static MasterInstruments,UB,CBOT|CME_CBT,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,Ultra U.S. Treasury Bond Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_007_UB,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,Ultra U.S. Treasury Bond Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,ultra,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.03125,31.25,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,ECBOT,USD,1000,2020,,,,,,,UNAVAILABLE,BLOCKED_UNAVAILABLE,BLOCKED,CARVER_APPENDIX_C_172_008_LIW,CONTRACT_IDENTITY_BLOCKED_UNAVAILABLE,BLOCKED_FAIL_CLOSED,,,,,,,swap,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,,1000,,,,,,,,BLOCKED_OR_UNAVAILABLE,,,No exact NinjaTrader static futures master candidate or static contract specification evidence is available for this Appendix C row.,NO_SUBSTITUTION_ATTEMPTED,NO,NO,NO,NOT_LOCKED,No exact NinjaTrader static futures master candidate or static contract specification evidence is available for this Appendix C row.
APPENDIX_C_172_009,172,US bond and interest rate futures,10-year US Swap,N1U,ECBOT,USD,1000,2013,NinjaTrader static MasterInstruments,N1U,,NINJATRADER_RAW_CURRENCY_CODE_7,1000.0,10-Year USD Interest Rate Swap Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_009_N1U,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,10-Year USD Interest Rate Swap Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,swap,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,1000,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,1000.0,0.015625,15.625,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
APPENDIX_C_172_010,172,US bond and interest rate futures,Eurodollar,GE,GLOBEX,USD,2500,1984,NinjaTrader static MasterInstruments,GE,CME|HT,NINJATRADER_RAW_CURRENCY_CODE_7,2500.0,Eurodollar Futures,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,CARVER_APPENDIX_C_172_010_GE,CONTRACT_IDENTITY_REQUIRES_REVIEW,REQUIRES_EXTERNAL_OR_MANUAL_STATIC_CONTRACT_SPEC_REVIEW,UNRESOLVED_REQUIRES_EXCHANGE_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_REQUIRES_CURRENCY_NORMALIZATION,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,Eurodollar Futures,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,standard_or_unspecified_future,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_SOURCE_MULTIPLIER_VS_PROVIDER_POINT_VALUE,2500,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv; docs/researchops/portfolios/CARVER_APPENDIX_C_JUMBO_UNIVERSE_LOCK_2026-05-29.csv,2500.0,0.0025,6.25,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,,,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO,NO,NO,NOT_LOCKED,"Static NinjaTrader master fields exist, but exchange normalization, currency normalization, multiplier semantics, active tradability, variant, and delivery cycle are not fully locked."
