ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol,dataset
2026-05-27 00:00:00+00:00,2026-05-26 21:09:14.492804+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-27 03:05:47.341926369+00:00,2026-05-27 03:05:47.339216+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-27 14:04:50.371386198+00:00,2026-05-27 14:04:50.365659+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-27 21:12:41.532489694+00:00,2026-05-27 21:09:13.764536+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-27 21:12:41.564640159+00:00,2026-05-27 21:09:13.764536+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-28 00:00:00+00:00,2026-05-27 21:09:13.764536+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-28 03:04:44.532357994+00:00,2026-05-28 03:04:44.529666+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-28 14:04:50.310734558+00:00,2026-05-28 14:04:50.304906+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-28 21:12:42.441775214+00:00,2026-05-28 21:09:14.883217+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
2026-05-28 21:12:42.618675218+00:00,2026-05-28 21:09:14.883217+00:00,19,105,176738,VX/M6,A,F,5e-07,,2026-06-17 00:00:00+00:00,,,,,,,,2147483647,0,176738,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,1000,32767,2026,65535,0,,,,VX,XCBF,VX,,FUT,,,,, ,255,255,255,255,6,17,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,176738,XCBF.PITCH
