ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol,dataset
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,27,FGBX SI 20260608 PS,A,F,0.02,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,20.0,,2147483647,0,14139102,2147483647,2147483647,691,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,6,2026,65535,1,EUR,,1,XEUR,XEUR,FGBX,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,27,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,24,FGBS SI 20260608 PS,A,F,0.005,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,5.0,,2147483647,0,14139103,2147483647,2147483647,690,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,12,2026,65535,7,EUR,,1,XEUR,XEUR,FGBS,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,24,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,21,FGBM SI 20260608 PS,A,F,0.01,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,10.0,,2147483647,0,14139101,2147483647,2147483647,689,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,4,2026,65535,5,EUR,,1,XEUR,XEUR,FGBM,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,21,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,22634,FVS SI 20260617 CS,A,F,0.05,,2026-06-17 00:00:00+00:00,,9223372036.854776,0.0,,1.0,5.0,,2147483647,0,14465658,2147483647,2147483647,821,6600,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,12,2026,65535,43,EUR,,1,XEUR,XEUR,FVS,FFICSX,FUT,,V2TX,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,22634,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,15,FBTS SI 20260608 PS,A,F,0.005,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,5.0,,2147483647,0,14139088,2147483647,2147483647,639,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,6,2026,65535,1,EUR,,1,XEUR,XEUR,FBTS,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,15,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,12,FBTP SI 20260608 PS,A,F,0.01,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,10.0,,2147483647,0,14139087,2147483647,2147483647,636,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,3,2026,65535,35,EUR,,1,XEUR,XEUR,FBTP,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,12,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,1228,FSCP SI 20260619 CS,A,F,0.1,,2026-06-19 00:00:00+00:00,,9223372036.854776,0.0,,1.0,5.0,,2147483647,0,14197078,2147483647,2147483647,764,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,6,2026,65535,11,EUR,,1,XEUR,XEUR,FSCP,FFICSX,FUT,,SCXP,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,1228,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,1353,FXXP SI 20260619 CS,A,F,0.02,,2026-06-19 00:00:00+00:00,,9223372036.854776,0.0,,1.0,1.0,,2147483647,0,9549478,2147483647,2147483647,816,8600,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,12,2026,65535,43,EUR,,1,XEUR,XEUR,FXXP,FFICSX,FUT,,SXXP,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,1353,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,6,FBON SI 20260608 PS,A,F,0.01,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,10.0,,2147483647,0,14139869,2147483647,2147483647,48058,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,6,2026,65535,1,EUR,,1,XEUR,XEUR,FBON,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,6,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,803,FESX SI 20260619 CS,A,F,0.01,,2026-06-19 00:00:00+00:00,,9223372036.854776,0.0,,1.0,0.1,,2147483647,0,9548301,2147483647,2147483647,675,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,3,2026,65535,17,EUR,,1,XEUR,XEUR,FESX,FFICSX,FUT,,SX5E,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,803,XEUR.EOBI
2026-05-27 00:03:31.070739062+00:00,2026-05-27 00:03:31.070739062+00:00,19,101,33,FOAT SI 20260608 PS,A,F,0.01,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,10.0,,2147483647,0,14139104,2147483647,2147483647,749,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,1,2026,65535,33,EUR,,1,XEUR,XEUR,FOAT,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,33,XEUR.EOBI
2026-05-28 00:01:47.555192785+00:00,2026-05-28 00:01:47.555192785+00:00,19,101,27,FGBX SI 20260608 PS,A,F,0.02,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,20.0,,2147483647,0,14139102,2147483647,2147483647,691,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,6,2026,65535,1,EUR,,1,XEUR,XEUR,FGBX,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,27,XEUR.EOBI
2026-05-28 00:01:47.555192785+00:00,2026-05-28 00:01:47.555192785+00:00,19,101,24,FGBS SI 20260608 PS,A,F,0.005,,2026-06-08 00:00:00+00:00,,9223372036.854776,0.0,,1.0,5.0,,2147483647,0,14139103,2147483647,2147483647,690,10000,1,2147483647,1,4294967295,2147483647,2147483647,2147483647,12,2026,65535,7,EUR,,1,XEUR,XEUR,FGBS,FFDPSX,FUT,,,,,F,255,255,255,255,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,24,XEUR.EOBI
