row_id,appendix_table,source_group,descriptive_name,author_market_code,appendix_exchange,appendix_currency,appendix_multiplier,post_alias_provider_status,databento_dataset,continuous_symbol_candidate,provider_metadata_safe_window_start,provider_metadata_safe_window_end,symbology_status,selected_instrument_id,selected_dated_raw_symbol,definition_status,provider_exchange,provider_currency,provider_group,provider_asset,security_type,instrument_class,activation,expiration,maturity_year,maturity_month,maturity_day,unit_of_measure,unit_of_measure_qty,min_price_increment,min_price_increment_amount,contract_multiplier,exchange_normalization_status,currency_normalization_status,multiplier_semantics_status,active_listed_status_as_of_provider_metadata_window,dated_contract_selection_status,contract_identity_static_result,next_required_gate,market_row_access_status,ohlcv_download_authorized,strategy_use_status,substitution_policy,notes
APPENDIX_C_172_001,172,US bond and interest rate futures,2-year US,ZT,ECBOT,USD,2000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,ZT.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42370722,ZTM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,ZT,ZT,FUT,F,2025-09-30T21:30:00Z,2026-06-30T17:01:00Z,2026,6,255,USD,200000,0.00390625,0.0002,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_002,172,US bond and interest rate futures,3-year US,Z3N,ECBOT,USD,2000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,Z3N.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42476196,Z3NM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,Z3,Z3N,FUT,F,2025-09-30T21:30:00Z,2026-06-30T17:01:00Z,2026,6,255,USD,200000,0.00390625,0.0002,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_003,172,US bond and interest rate futures,5-year US,ZF,ECBOT,USD,1000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,ZF.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42156042,ZFM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,ZF,ZF,FUT,F,2025-09-30T21:30:00Z,2026-06-30T17:01:00Z,2026,6,255,USD,100000,0.0078125,0.0001,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_004,172,US bond and interest rate futures,10-year US,ZN,ECBOT,USD,1000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,ZN.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42000661,ZNM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,ZN,ZN,FUT,F,2025-09-19T21:30:00Z,2026-06-18T17:01:00Z,2026,6,255,USD,100000,0.015625,0.001,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_005,172,US bond and interest rate futures,10-year Ultra US,TN,ECBOT,USD,1000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,TN.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42002605,TNM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,Z1,TN,FUT,F,2025-09-19T21:30:00Z,2026-06-18T17:01:00Z,2026,6,255,USD,100000,0.015625,15.625,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_006,172,US bond and interest rate futures,20-year US,ZB,ECBOT,USD,1000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,ZB.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42004655,ZBM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,ZB,ZB,FUT,F,2025-09-19T21:30:00Z,2026-06-18T17:01:00Z,2026,6,255,USD,100000,0.03125,0.001,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_007,172,US bond and interest rate futures,30-year US,UB,ECBOT,USD,1000,DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,GLBX.MDP3,UB.c.0,2026-05-27,2026-05-29,PASS_ONE_FRONT_INSTRUMENT_ID_FROM_CONTINUOUS_SYMBOL_SAFE_WINDOW,42003597,UBM6,PASS_DEFINITION_METADATA_PRESENT_FOR_SELECTED_INSTRUMENT_ID,XCBT,USD,ZU,UB,FUT,F,2025-09-19T21:30:00Z,2026-06-18T17:01:00Z,2026,6,255,USD,100000,0.03125,0.001,2147483647,PASS_STATIC_EXCHANGE_NORMALIZATION,PASS_STATIC_CURRENCY_MATCH,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY,PASS_ACTIVE_LISTED_AT_PROVIDER_METADATA_ASOF_FROM_DATABENTO_DEFINITION,SELECTED_LATEST_FRONT_DATED_CONTRACT_FROM_DATABENTO_CONTINUOUS_SAFE_WINDOW,STATIC_DATED_CONTRACT_SELECTED_BUT_CONTRACT_IDENTITY_REQUIRES_REVIEW_OR_FAIL_CLOSED,CONTRACT_IDENTITY_REVIEW_OR_PRODUCT_SPEC_RECONCILIATION_BEFORE_OHLCV,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,REVIEW_REQUIRED_APPENDIX_MULTIPLIER_DIFFERS_FROM_DATABENTO_UNIT_QTY
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,ECBOT,USD,1000,DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED,,,2026-05-27,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,PRESERVED_FAIL_CLOSED_NOT_IN_69_DATABENTO_STATIC_PROVIDER_CANDIDATES,SEPARATE_PROVIDER_COVERAGE_OR_ALIAS_NORMALIZATION_GATE_REQUIRED,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Row preserved from post-alias provider coverage patch; not part of the 69-candidate contract identity attempt.
APPENDIX_C_172_009,172,US bond and interest rate futures,10-year US Swap,N1U,ECBOT,USD,1000,DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED,,,2026-05-27,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,PRESERVED_FAIL_CLOSED_NOT_IN_69_DATABENTO_STATIC_PROVIDER_CANDIDATES,SEPARATE_PROVIDER_COVERAGE_OR_ALIAS_NORMALIZATION_GATE_REQUIRED,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Row preserved from post-alias provider coverage patch; not part of the 69-candidate contract identity attempt.
APPENDIX_C_172_010,172,US bond and interest rate futures,Eurodollar,GE,GLOBEX,USD,2500,DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED,,,2026-05-27,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,PRESERVED_FAIL_CLOSED_NOT_IN_69_DATABENTO_STATIC_PROVIDER_CANDIDATES,SEPARATE_PROVIDER_COVERAGE_OR_ALIAS_NORMALIZATION_GATE_REQUIRED,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Row preserved from post-alias provider coverage patch; not part of the 69-candidate contract identity attempt.
