row_id,appendix_table,source_group,descriptive_name,author_market_code,source_exchange,source_currency,source_multiplier,first_source_year,provider_mapping_status,provider_mapping_review_status,provider_symbol,local_canonical_instrument_id,static_spec_evidence_status,static_spec_evidence_type,static_spec_evidence_reference,external_contract_spec_page_included,provider_master_name,provider_contract_family,contract_family_status,contract_variant_observed,contract_variant_status,source_exchange_value,provider_exchange_tokens,exchange_evidence_status,source_currency_value,provider_currency_raw,currency_evidence_status,source_multiplier_value,provider_point_value,multiplier_semantics_status,point_value_status,tick_size,tick_size_status,tick_value_candidate,tick_value_status,trading_hours_template,trading_hours_status,provider_server_supported_raw,active_status_evidence,delivery_cycle_status,delivery_cycle_summary,market_data_rows_included,provider_api_accessed,ninjatrader_export_used,production_contract_identity_lock_status,substitution_status,notes
APPENDIX_C_172_001,172,US bond and interest rate futures,2-year US,ZT,ECBOT,USD,2000,2000,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,ZT,CARVER_APPENDIX_C_172_001_ZT,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,ZT,2-Year T-Note Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|UT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,2000,2000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.00390625,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,7.8125,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_002,172,US bond and interest rate futures,3-year US,Z3N,ECBOT,USD,2000,2020,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,Z3N,CARVER_APPENDIX_C_172_002_Z3N,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,Z3N,3-Year T-Note Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|ECBOT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,2000,2000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.0078125,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,15.625,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_003,172,US bond and interest rate futures,5-year US,ZF,ECBOT,USD,1000,1989,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,ZF,CARVER_APPENDIX_C_172_003_ZF,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,ZF,5-Year T-Note Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|UT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.0078125,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,7.8125,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_004,172,US bond and interest rate futures,10-year US,ZN,ECBOT,USD,1000,1982,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,ZN,CARVER_APPENDIX_C_172_004_ZN,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,ZN,10-Year T-Note Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|UT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.015625,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,15.625,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_005,172,US bond and interest rate futures,10-year Ultra US,TN,ECBOT,USD,1000,2016,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,TN,CARVER_APPENDIX_C_172_005_TN,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,TN,Ultra 10-Year U.S. Treasury Note Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,ultra,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.015625,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,15.625,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_006,172,US bond and interest rate futures,20-year US,ZB,ECBOT,USD,1000,1978,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,ZB,CARVER_APPENDIX_C_172_006_ZB,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,ZB,U.S. Treasury Bond Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|UT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.03125,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,31.25,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_007,172,US bond and interest rate futures,30-year US,UB,ECBOT,USD,1000,2010,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,UB,CARVER_APPENDIX_C_172_007_UB,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,UB,Ultra U.S. Treasury Bond Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,ultra,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,CBOT|CME_CBT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.03125,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,31.25,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,ECBOT,USD,1000,2020,BLOCKED_UNAVAILABLE,BLOCKED,,CARVER_APPENDIX_C_172_008_LIW,NO_STATIC_PROVIDER_MASTER_CONTRACT_SPEC_AVAILABLE_FOR_ROW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,,,UNAVAILABLE,swap,UNAVAILABLE,ECBOT,,UNAVAILABLE,USD,,UNAVAILABLE,1000,,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,,UNAVAILABLE,UNAVAILABLE,,NO,NO,NO,NOT_LOCKED,NO_SUBSTITUTION_ATTEMPTED,No exact NinjaTrader static futures master candidate was available; row remains blocked until new static source-native spec evidence is introduced.
APPENDIX_C_172_009,172,US bond and interest rate futures,10-year US Swap,N1U,ECBOT,USD,1000,2013,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,N1U,CARVER_APPENDIX_C_172_009_N1U,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,N1U,10-Year USD Interest Rate Swap Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,swap,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,ECBOT,,PROVIDER_EXCHANGE_EMPTY_REQUIRES_SPEC_EVIDENCE,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,1000,1000.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.015625,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,15.625,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CBOT Interest Rate RTH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
APPENDIX_C_172_010,172,US bond and interest rate futures,Eurodollar,GE,GLOBEX,USD,2500,1984,MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW,REQUIRES_CONTRACT_IDENTITY_REVIEW,GE,CARVER_APPENDIX_C_172_010_GE,STATIC_PROVIDER_MASTER_FIELDS_PRESENT_REQUIRES_CONTRACT_SPEC_REVIEW,NINJATRADER_STATIC_MASTER_FIELDS_ONLY_NO_EXTERNAL_SPEC_PAGE,docs/researchops/provider_specs/NINJATRADER_STATIC_INSTRUMENT_MASTER_EXTRACT_2026-05-29.csv,NO,GE,Eurodollar Futures,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,standard_or_unspecified_future,HEURISTIC_FROM_STATIC_TEXT_NOT_LOCKED,GLOBEX,CME|HT,PROVIDER_EXCHANGE_TOKENS_PRESENT_REQUIRES_NORMALIZATION,USD,NINJATRADER_RAW_CURRENCY_CODE_7,RAW_PROVIDER_CURRENCY_CODE_PRESENT_REQUIRES_NORMALIZATION,2500,2500.0,SOURCE_MULTIPLIER_AND_PROVIDER_POINT_VALUE_PRESENT_REQUIRES_SEMANTIC_RECONCILIATION,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,0.0025,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_LOCKED,6.25,DERIVED_CANDIDATE_FROM_POINT_VALUE_TIMES_TICK_SIZE_NOT_LOCKED,CME FX Futures RTH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,1,SERVER_SUPPORTED_STATIC_MASTER_FLAG_PRESENT_NOT_ACTIVE_TRADABILITY_LOCK,UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,NO,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Static NinjaTrader master fields are present but external/provider/exchange contract specs are still required before contract identity can be locked.
