"row_id","author_market_code","descriptive_name","source_exchange","official_source_url","official_source_type","evidence_intake_status","official_exchange_venue","official_product_code","official_product_name","official_currency","official_contract_unit","official_multiplier_semantics","official_point_value","official_price_quotation","official_tick_size","official_tick_value","official_active_listed_status","official_contract_variant","official_delivery_cycle","source_provider_reconciliation_status","market_row_access_status","provider_api_accessed","ninjatrader_historical_export_used","production_contract_identity_lock_status","notes"
"APPENDIX_C_172_001","ZT","2-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/2-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","ZT","2-Year U.S. Treasury Note Futures","USD","USD 200000 face value Treasury notes","point value is USD 2000 per full price point; quoted in points and fractions","2000","points and fractions of par","0.00390625","7.8125","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","standard Treasury note future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family supports face value and tick semantics; final production lock still requires source-hash and venue normalization."
"APPENDIX_C_172_002","Z3N","3-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/3-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_PROVIDER_TICK_MISMATCH_REVIEW_REQUIRED","CBOT","Z3N","3-Year U.S. Treasury Note Futures","USD","USD 200000 face value Treasury notes","point value is USD 2000 per full price point; quoted in points and fractions","2000","points and fractions of par","0.00390625","7.8125","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","standard Treasury note future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; OFFICIAL_TICK_DIFFERS_FROM_CURRENT_NINJATRADER_STATIC_EXTRACT","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family indicates 3-Year tick semantics aligned to 2-Year after CME enhancement; current NinjaTrader static extract has a larger tick and remains fail-closed for reconciliation."
"APPENDIX_C_172_003","ZF","5-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/5-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","ZF","5-Year U.S. Treasury Note Futures","USD","USD 100000 face value Treasury notes","point value is USD 1000 per full price point; quoted in points and fractions","1000","points and fractions of par","0.0078125","7.8125","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","standard Treasury note future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family supports face value and tick semantics; final production lock still requires source-hash and venue normalization."
"APPENDIX_C_172_004","ZN","10-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/10-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","ZN","10-Year U.S. Treasury Note Futures","USD","USD 100000 face value Treasury notes","point value is USD 1000 per full price point; quoted in points and fractions","1000","points and fractions of par","0.015625","15.625","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","standard Treasury note future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family supports face value and tick semantics; final production lock still requires source-hash and venue normalization."
"APPENDIX_C_172_005","TN","10-year Ultra US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/ultra-10-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","TN","Ultra 10-Year U.S. Treasury Note Futures","USD","USD 100000 face value Treasury notes","point value is USD 1000 per full price point; quoted in points and fractions","1000","points and fractions of par","0.015625","15.625","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","ultra Treasury note future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; ULTRA_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family supports face value and tick semantics; final production lock still requires source-hash and venue normalization."
"APPENDIX_C_172_006","ZB","20-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/30-year-us-treasury-bond.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_SOURCE_NAME_RECONCILIATION_REQUIRED","CBOT","ZB","U.S. Treasury Bond Futures","USD","USD 100000 face value Treasury bonds","point value is USD 1000 per full price point; quoted in points and fractions","1000","points and fractions of par","0.03125","31.25","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","classic Treasury bond future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","APPENDIX_C_DESCRIPTIVE_LABEL_20_YEAR_US_REQUIRES_RECONCILIATION_TO_CME_TREASURY_BOND_FUTURE; ECBOT_NORMALIZATION_REQUIRED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Static fields are extracted but source descriptive label versus official product family requires explicit lock before data intake."
"APPENDIX_C_172_007","UB","30-year US","ECBOT","https://www.cmegroup.com/markets/interest-rates/us-treasury/ultra-t-bond.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","UB","Ultra U.S. Treasury Bond Futures","USD","USD 100000 face value Treasury bonds","point value is USD 1000 per full price point; quoted in points and fractions","1000","points and fractions of par","0.03125","31.25","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","ultra Treasury bond future","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; ULTRA_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official Treasury source family supports face value and tick semantics; final production lock still requires source-hash and venue normalization."
"APPENDIX_C_172_009","N1U","10-year US Swap","ECBOT","https://www.cmegroup.com/trading/interest-rates/files/final-10-year-deliverable-interest-rate-swap-futures-settlement-procedure.pdf; https://www.cmegroup.com/rulebook/CBOT/V/53.pdf; https://www.cmegroup.com/trading/interest-rates/files/dsf-overview.pdf","CME_GROUP_OFFICIAL_SWAP_FUTURES_PDF_OR_RULEBOOK","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_ACTIVE_RETIREMENT_AND_RULEBOOK_REVIEW_REQUIRED","CBOT","N1U","10-Year Deliverable Interest Rate Swap Futures","USD","one 10-year USD interest rate swap futures contract","USD 1000 per price point; option/source material indicates 1/2 of 1/32 tick for 10-year swap futures","1000","swap futures price points","0.015625","15.625","OFFICIAL_ARCHIVE_OR_RULEBOOK_SOURCE_IDENTIFIED_ACTIVE_STATUS_NOT_LOCKED","deliverable interest-rate swap future","Mar Jun Sep Dec quarterly cycle indicated by official DSF overview; final chapter confirmation required","PROVIDER_EXCHANGE_TOKENS_MISSING; SWAP_VARIANT_AND_ACTIVE_STATUS_FAIL_CLOSED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","N1U needs a dedicated static source lock from CBOT Chapter 53 and official swap futures material before any contract identity lock."
"APPENDIX_C_172_010","GE","Eurodollar","GLOBEX","https://www.cmegroup.com/pt/products/interest-rates/eurodollar.html; CME Rulebook Chapter 452 required for final lock","CME_GROUP_OFFICIAL_STATIC_ARCHIVE_OR_RULEBOOK","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_RETIREMENT_TRANSITION_REVIEW_REQUIRED","CME","GE","Eurodollar Futures","USD","USD 1000000 three-month Eurodollar time deposit","point value is USD 2500 per full IMM index point; front-month tick can be USD 6.25 at 0.0025","2500","IMM index points based on 100 minus three-month USD LIBOR","0.0025","6.25","RETIRED_OR_TRANSITION_REVIEW_REQUIRED_NOT_TRADABILITY_LOCK","short-term interest-rate future","Mar Jun Sep Dec quarterly cycle plus serials from official source; retirement transition review required","GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE; EURODOLLAR_RETIREMENT_TRANSITION_FAIL_CLOSED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Eurodollar static fields are historically sourceable but current production readiness is fail-closed until retirement or SOFR-transition status is explicitly resolved."
"APPENDIX_C_174_001","MYM","Dow Jones industrial (micro)","ECBOT","https://www.cmegroup.com/markets/equities/dow-jones/micro-e-mini-dow.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CBOT","MYM","Micro E-mini Dow Futures","USD","USD 0.50 times DJIA Index","point value is USD 0.50 per index point","0.5","index points","1","0.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro e-mini equity index future","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","ECBOT_SOURCE_LABEL_REQUIRES_NORMALIZATION_TO_CBOT; MICRO_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","CME micro e-mini fact card supports contract size and tick; final lock still needs source-hash and venue normalization."
