"row_id","author_market_code","descriptive_name","source_group","lane_class","provider_symbol","provider_exchange","provider_instrument_status","provider_mapping_status","provider_mapping_review_status","local_canonical_instrument_id","official_exchange_venue","official_product_code","official_product_name","official_currency","official_contract_unit","official_point_value","official_tick_size","official_tick_value","official_delivery_cycle","official_source_type","official_source_url","final_venue_normalization_status","final_currency_normalization_status","final_multiplier_semantics_status","final_point_tick_reconciliation_status","final_contract_family_variant_status","final_delivery_cycle_status","final_active_listed_status","explicit_dated_contract_month_selection_status","selected_explicit_contract_month","final_contract_identity_lock_status","final_static_readiness_for_tiny_historical_bar_intake","policy_readiness_dependency_status","remaining_blockers","market_row_access_status","provider_api_accessed","ninjatrader_historical_export_used","diagnostics_or_backtests_run","substitution_status"
"APPENDIX_C_172_001","ZT","2-year US","US bond and interest rate futures","SOURCE_NATIVE_FUTURES","ZT","CBOT|UT|CME_CBT","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_172_001_ZT","CBOT","ZT","2-Year U.S. Treasury Note Futures","USD","USD 200000 face value Treasury notes","2000","0.00390625","7.8125","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","https://www.cmegroup.com/markets/interest-rates/us-treasury/2-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_172_003","ZF","5-year US","US bond and interest rate futures","SOURCE_NATIVE_FUTURES","ZF","CBOT|UT|CME_CBT","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_172_003_ZF","CBOT","ZF","5-Year U.S. Treasury Note Futures","USD","USD 100000 face value Treasury notes","1000","0.0078125","7.8125","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","https://www.cmegroup.com/markets/interest-rates/us-treasury/5-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_172_004","ZN","10-year US","US bond and interest rate futures","SOURCE_NATIVE_FUTURES","ZN","CBOT|UT|CME_CBT","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_172_004_ZN","CBOT","ZN","10-Year U.S. Treasury Note Futures","USD","USD 100000 face value Treasury notes","1000","0.015625","15.625","Mar Jun Sep Dec quarterly Treasury cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_PDF","https://www.cmegroup.com/markets/interest-rates/us-treasury/10-year-us-treasury-note.contractSpecs.html; https://www.cmegroup.com/content/dam/cmegroup/education/files/understanding-treasury-futures.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_174_006","MES","S&P 500 (micro)","US equity index futures","SOURCE_NATIVE_FUTURES","MES","CME","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_174_006_MES","CME","MES","Micro E-mini S&P 500 Futures","USD","USD 5 times S&P 500 Index","5","0.25","1.25","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_LEGACY_STATIC_SPEC","https://www.cmegroup.com/markets/equities/sp/micro-e-mini-sandp-500.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/us-index/micro-e-mini-sandp-500_contract_specifications.html","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_174_002","MNQ","Nasdaq (micro)","US equity index futures","SOURCE_NATIVE_FUTURES","MNQ","CME","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_174_002_MNQ","CME","MNQ","Micro E-mini Nasdaq-100 Futures","USD","USD 2 times Nasdaq-100 Index","2","0.25","0.5","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","https://www.cmegroup.com/markets/equities/nasdaq/micro-e-mini-nasdaq-100.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_174_004","M2K","Russell 2000 smallcap (micro)","US equity index futures","SOURCE_NATIVE_FUTURES","M2K","CME","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_174_004_M2K","CME","M2K","Micro E-mini Russell 2000 Futures","USD","USD 5 times Russell 2000 Index","5","0.1","0.5","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","https://www.cmegroup.com/markets/equities/russell/micro-e-mini-russell-2000.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_174_001","MYM","Dow Jones industrial (micro)","US equity index futures","SOURCE_NATIVE_FUTURES","MYM","CBOT","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_174_001_MYM","CBOT","MYM","Micro E-mini Dow Futures","USD","USD 0.50 times DJIA Index","0.5","1","0.5","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","https://www.cmegroup.com/markets/equities/dow-jones/micro-e-mini-dow.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_182_002","QM","WTI Crude (mini)","Energy futures","SOURCE_NATIVE_FUTURES","QM","CME","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_182_002_QM","NYMEX","QM","E-mini Crude Oil Futures","USD","500 barrels","500","0.025","12.5","delivery cycle not extracted in this gate; NYMEX energy spec extraction required","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","https://www.cmegroup.com/markets/energy/crude-oil/e-mini-crude-oil.contractSpecs.html; https://www.cmegroup.com/trading/energy/files/micro-wti-crude-oil-futures-fact-card.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_182_004","RB","Gasoline","Energy futures","SOURCE_NATIVE_FUTURES","RB","NYMEX","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_182_004_RB","NYMEX","RB","RBOB Gasoline Futures","USD","42000 gallons","42000","0.0001","4.2","delivery cycle not extracted in this gate; NYMEX energy spec extraction required","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","https://www.cmegroup.com/markets/energy/refined-products/rbob-gasoline.contractSpecs.html; https://www.cmegroup.com/pt/products/energy/rbob-harbor-gasoline-blendstock.html","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
"APPENDIX_C_183_003","ZC","Corn","Agricultural futures","SOURCE_NATIVE_FUTURES","ZC","CBOT|UT|CME_CBT|CME","SERVER_SUPPORTED","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","REQUIRES_CONTRACT_IDENTITY_REVIEW","CARVER_APPENDIX_C_183_003_ZC","CBOT","ZC","Corn Futures","USD","5000 bushels","50","0.25","12.5","Dec Mar May Jul Sep per official grain fact card; final contract-spec source hash required","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","https://www.cmegroup.com/markets/agriculture/grains/corn.contractSpecs.html; https://www.cmegroup.com/trading/agricultural/files/grain-and-oilseed-futures-options-fact-card.pdf","LOCKED_STATIC_VENUE_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_USD_CURRENCY_NORMALIZATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_MULTIPLIER_OR_QUOTE_UNIT_SEMANTICS_FROM_OFFICIAL_SPEC","LOCKED_STATIC_POINT_TICK_RECONCILIATION_FROM_PROVIDER_AND_OFFICIAL_SPEC","LOCKED_STATIC_CONTRACT_FAMILY_VARIANT_FROM_PROVIDER_AND_OFFICIAL_SPEC","FAIL_CLOSED_DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED","FAIL_CLOSED_ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED_FROM_STATIC_ARTIFACT","FAIL_CLOSED_EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED_NO_AS_OF_DATE_OR_TARGET_WINDOW","","FINAL_STATIC_CONTRACT_IDENTITY_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","NO","STATIC_POLICY_READINESS_REFRESH_FAIL_CLOSED_NOT_READY_FOR_TINY_HISTORICAL_BAR_INTAKE","EXPLICIT_DATED_CONTRACT_MONTH_NOT_SELECTED;ACTIVE_LISTED_STATUS_NOT_EXPLICITLY_LOCKED;DELIVERY_CYCLE_NOT_FINAL_STATIC_LOCKED;NINJATRADER_MAPPING_REQUIRES_CONTRACT_IDENTITY_REVIEW;NO_MARKET_ROW_ACCESS;NO_NINJATRADER_HISTORICAL_EXPORT_AUTHORIZED","NO_MARKET_ROW_ACCESS","NO","NO","NO","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT"
