provider,dataset,schema,stype_in,provider_symbol,instrument_id,timestamp_utc,completed_trading_date,open,high,low,close,volume,quarantine_status
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,LEM6,42290645,2026-05-18T00:00:00Z,2026-05-18,254.925,255.775,253.1,253.375,8450,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MESM6,42005163,2026-05-18T00:00:00Z,2026-05-18,7411.0,7454.25,7372.75,7429.25,1850967,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MNQM6,42004936,2026-05-18T00:00:00Z,2026-05-18,29118.0,29419.75,28814.25,29135.0,2685813,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZMN6,748931,2026-05-18T00:00:00Z,2026-05-18,337.6,340.6,334.2,334.6,55160,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZLN6,608206,2026-05-18T00:00:00Z,2026-05-18,74.25,75.84,74.19,75.55,59048,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MYMM6,42002662,2026-05-18T00:00:00Z,2026-05-18,49447.0,49846.0,49152.0,49762.0,198408,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZNM6,42000661,2026-05-18T00:00:00Z,2026-05-18,109.078125,109.4375,108.9375,109.25,2703498,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZCN6,495552,2026-05-18T00:00:00Z,2026-05-18,469.0,478.0,464.0,477.25,249461,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,M2KM6,42002073,2026-05-18T00:00:00Z,2026-05-18,2788.3,2817.1,2762.1,2785.5,134222,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,QMN6,3159,2026-05-18T00:00:00Z,2026-05-18,102.45,105.25,98.625,102.375,9606,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,RBN6,781272,2026-05-18T00:00:00Z,2026-05-18,3.5755,3.6385,3.516,3.5581,20400,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,HEM6,42005488,2026-05-18T00:00:00Z,2026-05-18,99.25,100.45,98.425,98.675,7628,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZSN6,194904,2026-05-18T00:00:00Z,2026-05-18,1202.25,1218.5,1191.0,1212.0,130105,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZWN6,4121243,2026-05-18T00:00:00Z,2026-05-18,647.5,666.0,646.0,664.75,78233,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZFM6,42156042,2026-05-18T00:00:00Z,2026-05-18,106.7421875,106.9921875,106.6796875,106.890625,1667367,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZTM6,42370722,2026-05-18T00:00:00Z,2026-05-18,103.18359375,103.28125,103.16015625,103.24609375,1066860,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZLN6,608206,2026-05-19T00:00:00Z,2026-05-19,75.57,75.9,75.18,75.37,36333,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZCN6,495552,2026-05-19T00:00:00Z,2026-05-19,476.75,481.75,472.0,475.25,146810,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZTM6,42370722,2026-05-19T00:00:00Z,2026-05-19,103.24609375,103.25390625,103.08984375,103.14453125,1060135,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,LEM6,42290645,2026-05-19T00:00:00Z,2026-05-19,253.275,255.675,253.0,254.625,6223,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,HEM6,42005488,2026-05-19T00:00:00Z,2026-05-19,98.7,98.95,97.85,97.85,7495,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,M2KM6,42002073,2026-05-19T00:00:00Z,2026-05-19,2785.7,2794.2,2728.5,2754.4,126862,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MESM6,42005163,2026-05-19T00:00:00Z,2026-05-19,7429.25,7440.75,7353.75,7382.0,1640665,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MYMM6,42002662,2026-05-19T00:00:00Z,2026-05-19,49759.0,49844.0,49325.0,49487.0,168303,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,RBN6,781272,2026-05-19T00:00:00Z,2026-05-19,3.556,3.5889,3.526,3.5507,22894,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
