status_key,status_value
intake_status,FAIL_CLOSED_DATABENTO_SYMBOLOGY_HTTP_401
dataset,GLBX.MDP3
schema,ohlcv-1d
requested_symbol_count,16
requested_start_utc,2026-05-18T00:00:00Z
requested_end_utc,2026-05-23T00:00:00Z
expected_total_rows,80
databento_api_key_available,YES
provider_api_accessed,YES
raw_provider_output_created,NO
sanitized_ohlcv_created,NO
row_validation_market_rows_parsed,NO
diagnostics_run,NO
backtests_run,NO
forecasts_computed,NO
positions_computed,NO
costs_computed,NO
carry_computed,NO
trend_computed,NO
oos_accessed,NO
lockbox_accessed,NO
forward_accessed,NO
cfd_adapters_used,NO
old_quantlab_pipeline_used,NO
deployment_or_trading_or_promotion,NO
git_or_remote_operations,NO
