row_id,appendix_table,pdf_pages,source_group,descriptive_name,author_market_code,exchange,currency,multiplier,first_source_year,lane_class,provider_mapping_status,local_contract_identity_status,market_data_readiness_status,substitution_policy,production_use_status
APPENDIX_C_172_001,172,690-691,US bond and interest rate futures,2-year US,ZT,ECBOT,USD,2000,2000,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_002,172,690-691,US bond and interest rate futures,3-year US,Z3N,ECBOT,USD,2000,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_003,172,690-691,US bond and interest rate futures,5-year US,ZF,ECBOT,USD,1000,1989,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_004,172,690-691,US bond and interest rate futures,10-year US,ZN,ECBOT,USD,1000,1982,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_005,172,690-691,US bond and interest rate futures,10-year Ultra US,TN,ECBOT,USD,1000,2016,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_006,172,690-691,US bond and interest rate futures,20-year US,ZB,ECBOT,USD,1000,1978,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_007,172,690-691,US bond and interest rate futures,30-year US,UB,ECBOT,USD,1000,2010,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_008,172,690-691,US bond and interest rate futures,5-year US ERIS Swap,LIW,ECBOT,USD,1000,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_009,172,690-691,US bond and interest rate futures,10-year US Swap,N1U,ECBOT,USD,1000,2013,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_172_010,172,690-691,US bond and interest rate futures,Eurodollar,GE,GLOBEX,USD,2500,1984,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_001,173,691,Other bond and interest rate futures,10-year French (OAT),OAT,DTB,EUR,1000,2012,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_002,173,691,Other bond and interest rate futures,2-year German (Schatz),GBS,DTB,EUR,1000,2007,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_003,173,691,Other bond and interest rate futures,5-year German (Bobl),GBM,DTB,EUR,1000,2008,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_004,173,691,Other bond and interest rate futures,10-year German (Bund),GBL,DTB,EUR,1000,2006,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_005,173,691,Other bond and interest rate futures,20-year German (Buxl),GBX,DTB,EUR,1000,2015,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_006,173,691,Other bond and interest rate futures,3-year Italian (BTP),BTS,DTB,EUR,1000,2011,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_007,173,691,Other bond and interest rate futures,10-year Italian (BTP),BTP,DTB,EUR,1000,2010,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_008,173,691,Other bond and interest rate futures,10-year Japanese (JGB),JGB,Osaka,JPY,1000000,2001,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_009,173,691,Other bond and interest rate futures,3-year Korea,3KTB,Korea,KRW,1000000,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_010,173,691,Other bond and interest rate futures,10-year Korea,FLKTB,Korea,KRW,1000000,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_173_011,173,691,Other bond and interest rate futures,10-year Spanish (Bono),FBON,DTB,EUR,1000,2016,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_001,174,691-692,US equity index futures,Dow Jones industrial (micro),MYM,ECBOT,USD,0.5,2002,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_002,174,691-692,US equity index futures,Nasdaq (micro),MNQ,GLOBEX,USD,2,1999,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_003,174,691-692,US equity index futures,Russell 1000 Value,RSV,GLOBEX,USD,50,2015,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_004,174,691-692,US equity index futures,Russell 2000 smallcap (micro),M2K,GLOBEX,USD,5,2015,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_005,174,691-692,US equity index futures,S&P 400 midcap (e-mini),EMD,GLOBEX,USD,100,2002,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_174_006,174,691-692,US equity index futures,S&P 500 (micro),MES,GLOBEX,USD,5,1982,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_001,175,692,European equity index futures,Dutch AEX,EOE,Euronext,EUR,200,2009,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_002,175,692,European equity index futures,French CAC 40,CAC40,MONEP,EUR,10,2009,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_003,175,692,European equity index futures,German DAX 30,DAX,DTB,EUR,1,2000,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_004,175,692,European equity index futures,Swiss SMI,SMI,SOFFEX,EUR,10,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_005,175,692,European equity index futures,EU DJ Small cap 200,DJ200S,DTB,EUR,50,2013,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_006,175,692,European equity index futures,EU STOXX select dividend 30,DJSD,DTB,EUR,10,2009,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_007,175,692,European equity index futures,EU STOXX 600,DJ600,DTB,EUR,50,2005,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_175_008,175,692,European equity index futures,EUROSTOXX 50,ESTX50,DTB,EUR,10,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_001,176,692,European stock sector futures,EU Auto,SXAP,DTB,EUR,50,2015,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_002,176,692,European stock sector futures,EU Basic materials,SXPP,DTB,EUR,50,2018,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_003,176,692,European stock sector futures,EU Health,SXDP,DTB,EUR,50,2016,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_004,176,692,European stock sector futures,EU Insurance,SXIP,DTB,EUR,50,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_005,176,692,European stock sector futures,EU Oil,SXEP,DTB,EUR,50,2018,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_006,176,692,European stock sector futures,EU Technology,SX8P,DTB,EUR,50,2018,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_007,176,692,European stock sector futures,EU Travel,SXTP,DTB,EUR,50,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_176_008,176,692,European stock sector futures,EU Utilities,SX6P,DTB,EUR,50,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_001,177,693,Asian equity index futures,MSCI Asia,M1MS,DTB,USD,100,2021,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_002,177,693,Asian equity index futures,FTSE China A,XINA50,SGX,USD,1,2011,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_003,177,693,Asian equity index futures,FTSE China H,XIN01,SGX,USD,2,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_004,177,693,Asian equity index futures,Indian NIFTY,NIFTY,SGX,USD,2,2002,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_005,177,693,Asian equity index futures,Japan NIKKEI,N225M,Osaka,JPY,100,2011,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_006,177,693,Asian equity index futures,Japan NIKKEI 400,JPNK400,Osaka,JPY,100,2015,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_007,177,693,Asian equity index futures,Japan Mothers index,TSEMOTHR,Osaka,JPY,1000,2018,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_008,177,693,Asian equity index futures,Japan TOPIX,MNTPX,Osaka,JPY,1000,2010,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_009,177,693,Asian equity index futures,Korea KOSDAQ,KOSDQ150,Korea,KRW,10000,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_010,177,693,Asian equity index futures,Korea KOSPI,K200,Korea,KRW,250000,2014,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_011,177,693,Asian equity index futures,MSCI Singapore,SSG,SGX,SGD,100,2001,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_177_012,177,693,Asian equity index futures,FTSE Taiwan,TWN,SGX,USD,40,2020,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_178_001,178,693,Volatility futures,VIX,VIX,CFE,USD,1000,2006,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_178_002,178,693,Volatility futures,VSTOXX,V2TX,DTB,EUR,100,2013,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_001,179,693-694,Major FX futures,AUD/USD,AUD,GLOBEX,USD,100000,1987,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_002,179,693-694,Major FX futures,CAD/USD,CAD,GLOBEX,USD,100000,1972,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_003,179,693-694,Major FX futures,CHF/USD,CHF,GLOBEX,USD,125000,1972,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_004,179,693-694,Major FX futures,EUR/USD,EUR,GLOBEX,USD,125000,1999,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_005,179,693-694,Major FX futures,GBP/USD,GBP,GLOBEX,USD,62500,1975,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_006,179,693-694,Major FX futures,JPY/USD,JPY,GLOBEX,USD,12500000,1977,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_007,179,693-694,Major FX futures,NOK/USD,NOK,GLOBEX,USD,2000000,2002,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_008,179,693-694,Major FX futures,NZD/USD,NZD,GLOBEX,USD,100000,2003,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_179_009,179,693-694,Major FX futures,SEK/USD,SEK,GLOBEX,USD,2000000,2002,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_180_001,180,694,Cross and EM FX futures,EUR/GBP,RP,GLOBEX,GBP,125000,1999,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_180_002,180,694,Cross and EM FX futures,EUR/JPY,RY,GLOBEX,JPY,125000,1999,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
APPENDIX_C_180_003,180,694,Cross and EM FX futures,BRE/USD,BRE,GLOBEX,USD,100000,1995,SOURCE_NATIVE_FUTURES,UNRESOLVED,UNRESOLVED,CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NOT_AUTHORIZED
