"row_id","appendix_table","source_group","descriptive_name","author_market_code","source_exchange","lane_class","ninjatrader_mapping_status","prior_databento_coverage_classification","final_databento_coverage_classification","databento_dataset_candidate","prior_databento_symbol_candidate","final_databento_symbol_candidate","alias_evidence_status","alias_official_product_code","alias_remaining_blocker","final_databento_provider_patch_status","pre_real_data_readiness_status","next_required_gate_after_alias_patch","allowed_next_action_before_real_data","hard_blocker_before_ohlcv","market_row_access_status","ohlcv_download_authorized","strategy_use_status","substitution_policy","notes"
"APPENDIX_C_172_001","172","US bond and interest rate futures","2-year US","ZT","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","ZT.c.0","ZT.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_002","172","US bond and interest rate futures","3-year US","Z3N","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","Z3N.c.0","Z3N.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_003","172","US bond and interest rate futures","5-year US","ZF","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","ZF.c.0","ZF.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_004","172","US bond and interest rate futures","10-year US","ZN","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","ZN.c.0","ZN.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_005","172","US bond and interest rate futures","10-year Ultra US","TN","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","TN.c.0","TN.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_006","172","US bond and interest rate futures","20-year US","ZB","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","ZB.c.0","ZB.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_007","172","US bond and interest rate futures","30-year US","UB","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_EXACT_METADATA_MATCH","DATABENTO_EXACT_METADATA_MATCH","GLBX.MDP3","UB.c.0","UB.c.0","NOT_ALIAS_ROW","","","DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY","REQUIRES_DATABENTO_CONTRACT_IDENTITY_STATIC_LOCK_AND_DATED_CONTRACT_SELECTION_GATE","DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE","STATIC_METADATA_DEFINITION_LIFECYCLE_EVIDENCE_ONLY_BEFORE_OHLCV","NO_OHLCV_OR_REAL_DATA_UNTIL_EXPLICIT_DATED_CONTRACT_AND_LIFECYCLE_LOCK","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_008","172","US bond and interest rate futures","5-year US ERIS Swap","LIW","ECBOT","SOURCE_NATIVE_FUTURES","BLOCKED_UNAVAILABLE","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","","","","NOT_ALIAS_ROW","","","DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED","BLOCKED_OR_UNRESOLVED_BEFORE_DATA_ACCESS","ALTERNATE_PROVIDER_OR_SOURCE_BLOCKAGE_DECISION_GATE","NO_PROVIDER_DATA_ACCESS_FOR_THIS_ROW_WITHOUT_NEW_EVIDENCE","NO_DATABENTO_METADATA_CANDIDATE_FOUND","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_009","172","US bond and interest rate futures","10-year US Swap","N1U","ECBOT","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","","","","NOT_ALIAS_ROW","","","DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED","BLOCKED_OR_UNRESOLVED_BEFORE_DATA_ACCESS","ALTERNATE_PROVIDER_OR_SOURCE_BLOCKAGE_DECISION_GATE","NO_PROVIDER_DATA_ACCESS_FOR_THIS_ROW_WITHOUT_NEW_EVIDENCE","NO_DATABENTO_METADATA_CANDIDATE_FOUND","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
"APPENDIX_C_172_010","172","US bond and interest rate futures","Eurodollar","GE","GLOBEX","SOURCE_NATIVE_FUTURES","MAPPED_SOURCE_NATIVE_REQUIRES_REVIEW","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH","","","","NOT_ALIAS_ROW","","","DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED","BLOCKED_OR_UNRESOLVED_BEFORE_DATA_ACCESS","ALTERNATE_PROVIDER_OR_SOURCE_BLOCKAGE_DECISION_GATE","NO_PROVIDER_DATA_ACCESS_FOR_THIS_ROW_WITHOUT_NEW_EVIDENCE","NO_DATABENTO_METADATA_CANDIDATE_FOUND","NO_MARKET_ROW_ACCESS","NO","NOT_STRATEGY_INPUT_NOT_BACKTEST_READY","FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT","Patch derives from Databento metadata/symbology coverage only; continuous symbology is coverage evidence only, not source data or roll authority."
