row_id,appendix_table,source_group,descriptive_name,author_market_code,local_canonical_instrument_id,contract_identity_status,session_roll_readiness_status,risk_fx_cost_carry_leg_readiness_status,annual_risk_status,annual_risk_reference,daily_price_risk_status,daily_price_risk_reference,risk_no_lookahead_status,risk_timestamp_alignment_status,fx_source_status,fx_source_reference,fx_timestamp_policy_status,fx_stale_missing_policy_status,commission_status,commission_reference,spread_slippage_status,spread_slippage_reference,turnover_status,turnover_reference,risk_adjusted_cost_status,trend_eligibility_status,carry_eligibility_status,held_carry_contract_status,comparison_carry_contract_status,carry_curve_leg_availability_status,raw_carry_sign_policy_status,expiry_calendar_status,fixed_month_policy_status,seasonal_wrong_sign_policy_status,liquidity_status,minimum_capital_status,market_row_access_status,provider_api_accessed,ninjatrader_export_used,production_risk_fx_cost_carry_leg_lock_status,substitution_status,block_reason,notes
APPENDIX_C_172_001,172,US bond and interest rate futures,2-year US,ZT,CARVER_APPENDIX_C_172_001_ZT,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_002,172,US bond and interest rate futures,3-year US,Z3N,CARVER_APPENDIX_C_172_002_Z3N,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_003,172,US bond and interest rate futures,5-year US,ZF,CARVER_APPENDIX_C_172_003_ZF,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_004,172,US bond and interest rate futures,10-year US,ZN,CARVER_APPENDIX_C_172_004_ZN,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_005,172,US bond and interest rate futures,10-year Ultra US,TN,CARVER_APPENDIX_C_172_005_TN,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_006,172,US bond and interest rate futures,20-year US,ZB,CARVER_APPENDIX_C_172_006_ZB,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_007,172,US bond and interest rate futures,30-year US,UB,CARVER_APPENDIX_C_172_007_UB,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,CARVER_APPENDIX_C_172_008_LIW,CONTRACT_IDENTITY_BLOCKED_UNAVAILABLE,SESSION_ROLL_BLOCKED_CONTRACT_IDENTITY,RISK_FX_COST_CARRY_LEG_BLOCKED_CONTRACT_IDENTITY,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Contract identity is CONTRACT_IDENTITY_BLOCKED_UNAVAILABLE; risk/FX/cost/carry-leg readiness cannot proceed.,No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_009,172,US bond and interest rate futures,10-year US Swap,N1U,CARVER_APPENDIX_C_172_009_N1U,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
APPENDIX_C_172_010,172,US bond and interest rate futures,Eurodollar,GE,CARVER_APPENDIX_C_172_010_GE,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,RISK_FX_COST_CARRY_LEG_BLOCKED_SESSION_ROLL_COMPLETED_BAR,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,BLOCKED_UPSTREAM_READINESS_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"Session/roll/completed-bar readiness is SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY; no annual risk, price risk, FX, cost, eligibility, or carry-leg readiness can proceed before upstream completed-bar/session/roll evidence is locked.",No external static risk/FX/cost/eligibility/carry-leg policy evidence was named. Synthetic P05/P06/P07 inputs are not production readiness evidence.
