completed_trading_date,source_raw_symbol,raw_open,raw_high,raw_low,raw_close,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,cumulative_additive_adjustment,source_raw_sha256,lineage_status
2021-01-03,MESH1,3748.5,3755.75,3742.25,3749.0,3933.0,3940.25,3926.75,3933.5,15245.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-04,MESH1,3749.25,3773.25,3652.5,3693.5,3933.75,3957.75,3837.0,3878.0,1284710.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-05,MESH1,3693.25,3729.75,3673.25,3714.0,3877.75,3914.25,3857.75,3898.5,959330.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-06,MESH1,3714.25,3774.75,3685.5,3749.75,3898.75,3959.25,3870.0,3934.25,1424866.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-07,MESH1,3749.75,3804.0,3742.0,3799.5,3934.25,3988.5,3926.5,3984.0,760424.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-08,MESH1,3799.5,3824.25,3775.25,3822.5,3984.0,4008.75,3959.75,4007.0,1026095.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-10,MESH1,3815.75,3820.75,3807.75,3809.75,4000.25,4005.25,3992.25,3994.25,15839.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-11,MESH1,3809.75,3813.75,3776.25,3797.25,3994.25,3998.25,3960.75,3981.75,795855.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-12,MESH1,3797.0,3806.75,3767.75,3796.25,3981.5,3991.25,3952.25,3980.75,848129.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-13,MESH1,3796.5,3813.5,3776.5,3806.5,3981.0,3998.0,3961.0,3991.0,703677.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-14,MESH1,3806.5,3817.75,3786.25,3795.0,3991.0,4002.25,3970.75,3979.5,712231.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-15,MESH1,3794.75,3796.0,3741.5,3745.75,3979.25,3980.5,3926.0,3930.25,1058794.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-17,MESH1,3750.25,3760.0,3746.5,3749.75,3934.75,3944.5,3931.0,3934.25,13314.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-18,MESH1,3749.5,3773.5,3741.0,3773.0,3934.0,3958.0,3925.5,3957.5,145203.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-19,MESH1,3773.0,3803.75,3772.25,3803.5,3957.5,3988.25,3956.75,3988.0,619771.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-20,MESH1,3803.25,3852.5,3788.75,3848.0,3987.75,4037.0,3973.25,4032.5,623483.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-21,MESH1,3848.0,3859.75,3836.5,3844.0,4032.5,4044.25,4021.0,4028.5,552426.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-22,MESH1,3844.25,3848.5,3813.5,3830.0,4028.75,4033.0,3998.0,4014.5,623753.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-24,MESH1,3835.0,3844.5,3834.0,3841.25,4019.5,4029.0,4018.5,4025.75,10351.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-25,MESH1,3841.25,3853.5,3788.5,3845.5,4025.75,4038.0,3973.0,4030.0,1187453.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
2021-01-26,MESH1,3845.25,3862.5,3821.5,3847.0,4029.75,4047.0,4006.0,4031.5,783593.0,184.5,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,LOCAL_CONTINUOUS_DEV_RECON_ONLY_NOT_BACKTEST_NOT_PRODUCTION
