raw_symbol,admitted_rows,normal_provider_condition_rows,rejected_degraded_or_unresolved_rows,admission_status
MESH1,66,66,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESM1,144,144,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESU1,211,211,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESZ1,243,243,1,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESH2,211,211,2,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESM2,234,234,2,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESU2,248,248,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESZ2,266,266,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESH3,292,292,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESM3,259,259,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESU3,292,292,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESZ3,313,313,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
MESH4,234,234,0,LOCKED_NORMAL_PROVIDER_CONDITION_ONLY
