input_role,path,sha256,scope_note
source_sanitized_csv,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\sanitized_daily_bars\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_sanitized_quarantine_ohlcv_1d.csv,781B26F8E06627C560E7053725E5B42CAD536692CA61F7522768AFDE253B2652,Existing S09 MES quarantine OHLCV-1d rows only
source_status_json,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\status\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_status.json,2284FA025E74CCC1909B6865138109D01EEF5D7185E897463CE2466531191F02,Existing S09 MES expansion status
static_mes_extract_narrow_scope,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,72E9FA2F40AD66BEF7CB54307EE9AC0480FC509DA0952361E262BA93FAA39C2A,Generic MES facts plus MES 06-26 narrow pilot; not sufficient for official 2021-2024 lifecycle lock
databento_definition_crosscheck_MESH1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH1_definition.csv,0CABC72A401DD2D5C786B1503E245F8BD7309A8CF8AA25E027C2E5F33391C6A2,Provider definition cross-check for MESH1; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESM1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM1_definition.csv,0897713E9D35950B2B1264A0CE937E8852B05846573817526DF1B82EA2A1A8CA,Provider definition cross-check for MESM1; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESU1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU1_definition.csv,430FFBEFFDE428709F82BD007A6A28EBF707DD936DB0A2F83A231EE7D4C67D38,Provider definition cross-check for MESU1; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESZ1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ1_definition.csv,1D980F2EBF4238BE3FEB4AEEF77F7384F02DE09ED789B6F6CE0507F292624D9F,Provider definition cross-check for MESZ1; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESH2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH2_definition.csv,B198DB5D32D005541DEACEC84715528660E20C7B5CD64C9A11D60E4441E3C0E8,Provider definition cross-check for MESH2; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESM2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM2_definition.csv,DDE93A18562807B860A4FE7746F92C088C5B89FAC6D24592181ECCF4E2E250DA,Provider definition cross-check for MESM2; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESU2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU2_definition.csv,D17214EC8E464412CCF1F63DA6DC0FACB8AB7293153FB6DB20C10CAFA0CCD165,Provider definition cross-check for MESU2; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESZ2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ2_definition.csv,1D556C45C1F38401A021C0AA3D134A66D7A27AC821D27ABCF7C9CF3A978A2875,Provider definition cross-check for MESZ2; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESH3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH3_definition.csv,4F4E8CD9E69B16E8B03E22AAB074916F030D1B0A14F894539D94B7B7BC91AE31,Provider definition cross-check for MESH3; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESM3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM3_definition.csv,7833D8CF58DFF84BD9964960C10A32BCFE5A8B7F8465DDBC405B7724DE6A73BE,Provider definition cross-check for MESM3; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESU3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU3_definition.csv,317F75FB93EA675D17B9F7A889BD5DC1F050A0A46C7A02D36D8D867B1C8D5BE1,Provider definition cross-check for MESU3; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESZ3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ3_definition_retry.csv,E5F6834176C406CD56DEC3979423282F82F2E1C991D57175031ADB3A33A8A6DC,Provider definition cross-check for MESZ3; not a replacement for official lifecycle evidence
databento_definition_crosscheck_MESH4,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH4_definition.csv,7BC7051396B407CA0529979C6FAC895BB6D1BA6305B79583BA2F38F7F46DC4D2,Provider definition cross-check for MESH4; not a replacement for official lifecycle evidence
