raw_symbol,definition_csv,definition_csv_sha256,expiration_utc,product_code,currency,multiplier,tick_size,venue,official_static_mes_source_extract,lifecycle_source_status
MESH1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH1_definition.csv,0CABC72A401DD2D5C786B1503E245F8BD7309A8CF8AA25E027C2E5F33391C6A2,2021-03-19T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESM1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM1_definition.csv,0897713E9D35950B2B1264A0CE937E8852B05846573817526DF1B82EA2A1A8CA,2021-06-18T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESU1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU1_definition.csv,430FFBEFFDE428709F82BD007A6A28EBF707DD936DB0A2F83A231EE7D4C67D38,2021-09-17T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESZ1,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ1_definition.csv,1D980F2EBF4238BE3FEB4AEEF77F7384F02DE09ED789B6F6CE0507F292624D9F,2021-12-17T14:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESH2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH2_definition.csv,B198DB5D32D005541DEACEC84715528660E20C7B5CD64C9A11D60E4441E3C0E8,2022-03-18T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESM2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM2_definition.csv,DDE93A18562807B860A4FE7746F92C088C5B89FAC6D24592181ECCF4E2E250DA,2022-06-17T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESU2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU2_definition.csv,D17214EC8E464412CCF1F63DA6DC0FACB8AB7293153FB6DB20C10CAFA0CCD165,2022-09-16T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESZ2,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ2_definition.csv,1D556C45C1F38401A021C0AA3D134A66D7A27AC821D27ABCF7C9CF3A978A2875,2022-12-16T14:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESH3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESH3_definition.csv,4F4E8CD9E69B16E8B03E22AAB074916F030D1B0A14F894539D94B7B7BC91AE31,2023-03-17T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESM3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESM3_definition.csv,7833D8CF58DFF84BD9964960C10A32BCFE5A8B7F8465DDBC405B7724DE6A73BE,2023-06-16T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESU3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESU3_definition.csv,317F75FB93EA675D17B9F7A889BD5DC1F050A0A46C7A02D36D8D867B1C8D5BE1,2023-09-15T13:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
MESZ3,docs\researchops\s09\mes_dev_recon_data_expansion\2022-01-03_2023-12-29\raw_provider_metadata\20260602_S09_MES_DEV_RECON_DAILY_EXPANSION_MESZ3_definition_retry.csv,E5F6834176C406CD56DEC3979423282F82F2E1C991D57175031ADB3A33A8A6DC,2023-12-15T14:30:00+00:00,MES,USD,5.0,0.25,XCME,docs\researchops\first_data_intake\CARVER_NINJATRADER_SUPPORTED_PILOT_MES_STATIC_DATED_CONTRACT_SOURCE_EXTRACT_2026-05-30.md,PROVISIONAL_FOR_LOCAL_BUFFER_ROLL_CROSSCHECK_OFFICIAL_2021_2024_LIFECYCLE_PACKET_REQUIRED
