old_symbol,new_symbol,expiration_date,roll_buffer_date,roll_transition_date,old_close_on_roll_date,new_close_on_roll_date,old_history_additive_adjustment,old_source_raw_sha256,new_source_raw_sha256,roll_rule,adjustment_method
MESH1,MESM1,2021-03-19,2021-03-14,2021-03-14,3950.75,3941.75,-9.0,7F2B126B38951AFF314C6D238B67D76F4E59F15542FD5C81DE1D7FA0308EB1E0,C12B4685BEECABC9DA62403D91B19FBFB2047FC808B951E585CE38A448E6AF20,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESM1,MESU1,2021-06-18,2021-06-13,2021-06-13,4249.75,4240.75,-9.0,C12B4685BEECABC9DA62403D91B19FBFB2047FC808B951E585CE38A448E6AF20,94E1CE75E3DF7031B5B524B46425E434A609D0AAB27B62DAE8BDB4D273BC1C16,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESU1,MESZ1,2021-09-17,2021-09-12,2021-09-12,4474.5,4465.25,-9.25,94E1CE75E3DF7031B5B524B46425E434A609D0AAB27B62DAE8BDB4D273BC1C16,E357A5CB65DB8D3B5267ED4E813AEAA49B87DA7D51D05378910B02EED64DE090,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESZ1,MESH2,2021-12-17,2021-12-12,2021-12-12,4720.0,4712.25,-7.75,E357A5CB65DB8D3B5267ED4E813AEAA49B87DA7D51D05378910B02EED64DE090,2AB7BEC4B32D6A4719D6C0B9B44E6222572036C147CC75793A7516E36F42A049,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESH2,MESM2,2022-03-18,2022-03-13,2022-03-13,4232.5,4223.5,-9.0,2AB7BEC4B32D6A4719D6C0B9B44E6222572036C147CC75793A7516E36F42A049,CB86768F7493D8F9B026F810507DE46A62FC1E1790C6A70BD2687FCD54FC6691,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESM2,MESU2,2022-06-17,2022-06-12,2022-06-12,3862.0,3863.0,1.0,CB86768F7493D8F9B026F810507DE46A62FC1E1790C6A70BD2687FCD54FC6691,4B5B4559F28B9D8D40E2ECDC7850943F9741BCC79E5C91CFE894CD94D959CD62,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESU2,MESZ2,2022-09-16,2022-09-11,2022-09-11,4077.25,4094.5,17.25,4B5B4559F28B9D8D40E2ECDC7850943F9741BCC79E5C91CFE894CD94D959CD62,EA9F4668A8BF3839C5DC41CC6B65BDFF8642C011EE688CFE35BB2F40E4F72629,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESZ2,MESH3,2022-12-16,2022-12-11,2022-12-11,3927.0,3959.25,32.25,EA9F4668A8BF3839C5DC41CC6B65BDFF8642C011EE688CFE35BB2F40E4F72629,29F436E6D3E9747A5756F6050838EF2CF1EE15440127DAEC7D0671C41D3D9BE9,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESH3,MESM3,2023-03-17,2023-03-12,2023-03-12,3907.25,3939.75,32.5,29F436E6D3E9747A5756F6050838EF2CF1EE15440127DAEC7D0671C41D3D9BE9,EE554CD0930362A7A79944B96752462A7E6682C16C4444D34835186AAA918CA3,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESM3,MESU3,2023-06-16,2023-06-11,2023-06-11,4310.5,4354.5,44.0,EE554CD0930362A7A79944B96752462A7E6682C16C4444D34835186AAA918CA3,65A7129BAC127DAA962F4D1EE8976CA88193AE5B390EE5A42C189E05326B5CB4,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESU3,MESZ3,2023-09-15,2023-09-10,2023-09-10,4465.75,4514.75,49.0,65A7129BAC127DAA962F4D1EE8976CA88193AE5B390EE5A42C189E05326B5CB4,EFE8EAC99905B541037D92E39DE22BFF6056F4DD8EB21B51B4469D1299B8B73C,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
MESZ3,MESH4,2023-12-15,2023-12-10,2023-12-10,4611.0,4663.5,52.5,EFE8EAC99905B541037D92E39DE22BFF6056F4DD8EB21B51B4469D1299B8B73C,C8521B6B9F95CE9FC841ED89F5DEC9D5B4A4F5521470D5E38FF8319B8E30E691,STATIC_LIFECYCLE_BUFFER_ROLL_5_COMPLETED_PROVIDER_DATES,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL
