completed_trading_date,sigma_i_t,ten_year_average_sigma,relative_volatility_v,historical_v_observation_count,quantile_q,raw_multiplier_2_minus_1_5q,vol_multiplier_m_ewma10,method_status,no_lookahead_status
2019-06-06,0.034990577027642376,0.044937397264543606,0.7786516166402577,1,0.5,1.25,1.25,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-07,0.035059823467356276,0.04492173407242161,0.7804646056368566,2,1.0,0.5,1.1136363636363635,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-09,0.039615746352853407,0.04490681178518618,0.882176774035021,3,1.0,0.5,1.002066115702479,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-10,0.03512127544009355,0.04488699741736983,0.7824376202651225,4,0.6666666666666666,1.0,1.0016904583020283,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-11,0.041766749887377316,0.04487080543634428,0.9308223795231286,5,1.0,0.5,0.9104740113380231,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-12,0.03286567014626169,0.04485677392577904,0.7326802012253917,6,0.0,2.0,1.1085696456402006,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-13,0.03426228898522231,0.04484465136579583,0.7640217493441155,7,0.16666666666666666,1.75,1.2251933464328912,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-14,0.03320680706939789,0.044832657312490684,0.7406834450597298,8,0.14285714285714285,1.7857142857142858,1.3271062444840538,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-16,0.032869155428743295,0.044818535021226395,0.7333830838776014,9,0.125,1.8125,1.4153596545778622,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-17,0.03127025109644541,0.04480699285206014,0.6978877426496981,10,0.0,2.0,1.5216578992000689,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-18,0.03308264139516723,0.04479166721367135,0.7385891942211456,11,0.3,1.55,1.52681100843642,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-19,0.03465698961434365,0.04478091167000141,0.7739232704715179,12,0.5454545454545454,1.1818181818181819,1.4640850399603764,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-20,0.03052357254537885,0.04476964626063042,0.6817916846535529,13,0.0,2.0,1.5615241236039443,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-21,0.0328969959847586,0.04475708597802946,0.7350120157712504,14,0.3076923076923077,1.5384615384615383,1.5573309263053248,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-23,0.030696268582275137,0.04474291911360723,0.6860586924231276,15,0.07142857142857142,1.8928571428571428,1.6183356929511097,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-24,0.030976682221685634,0.04473106864872356,0.6925093264582576,16,0.13333333333333333,1.8,1.6513655669599987,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-25,0.030297442732647194,0.04471360227589176,0.6775889481170849,17,0.0,2.0,1.7147536456945445,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-26,0.032420929408873984,0.04470296878137618,0.7252522660727837,18,0.29411764705882354,1.5588235294117647,1.6864027154613117,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-27,0.03242901922298167,0.04469413528583311,0.7255766112396593,19,0.3333333333333333,1.5,1.652511312650164,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-28,0.03479631991134647,0.044684193671597844,0.7787165226048086,20,0.7894736842105263,0.8157894736842106,1.5003800692018088,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-06-30,0.03917370781339991,0.0446705368923619,0.8769473245372639,21,0.9,0.6499999999999999,1.3457655111651161,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-01,0.03086471997113981,0.044658278021700894,0.6911309915743202,22,0.14285714285714285,1.7857142857142858,1.4257561974467832,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-02,0.03189591821461591,0.04464468763318399,0.714439273865766,23,0.2727272727272727,1.5909090909090908,1.4557839962581116,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-03,0.03100674901243994,0.04462875027789321,0.6947707211017086,24,0.21739130434782608,1.6739130434782608,1.4954438230254115,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-04,0.03492785245330592,0.044616739715731255,0.7828418812276156,25,0.875,0.6875,1.3485449461117003,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-05,0.03659200780941205,0.04460299647053702,0.8203934870963947,26,0.88,0.6799999999999999,1.2269913195459363,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-07,0.045052464643184575,0.04458687569680202,1.0104422868637093,27,1.0,0.5,1.0948110796284931,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-08,0.041060304428596726,0.04457654596085263,0.9211190222018574,28,0.9259259259259259,0.6111111111111112,1.0068656308071509,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2019-07-09,0.032932476596632315,0.044564245908870634,0.7389887548860558,29,0.5,1.25,1.0510718797513052,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
