root,purpose,raw_symbol,error,message
MES,hourly,MESH2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_hourly_MESH2.dbn'
MES,hourly,MESH3,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_hourly_MESH3.dbn'
MES,daily,MESH9,SYMBOL_NOT_RESOLVED,
MES,daily,MESM9,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESM9.dbn'
MES,daily,MESZ9,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESZ9.dbn'
MES,daily,MESM0,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESM0.dbn'
MES,daily,MESU0,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESU0.dbn'
MES,daily,MESH2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESH2.dbn'
MES,daily,MESM2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESM2.dbn'
MES,daily,MESZ2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESZ2.dbn'
MES,daily,MESM3,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MES\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MES_daily_MESM3.dbn'
