root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id
MNQ,hourly,MNQH2,2021-12-31,2022-03-22,7575
MNQ,hourly,MNQM2,2021-12-31,2022-06-26,13505
MNQ,hourly,MNQU2,2021-12-31,2022-11-08,7688
MNQ,hourly,MNQZ2,2021-12-31,2022-12-25,20332
MNQ,hourly,MNQH3,2021-12-31,2023-05-30,8071
MNQ,hourly,MNQM3,2022-03-06,2024-01-01,4973
MNQ,hourly,MNQU3,2022-06-05,2024-01-01,9235
MNQ,hourly,MNQZ3,2022-09-04,2024-01-01,34070
MNQ,hourly,MNQH4,2022-12-04,2024-01-01,7101
MNQ,daily,MNQM9,2019-04-14,2019-07-08,8078
MNQ,daily,MNQU9,2019-04-14,2019-10-06,8084
MNQ,daily,MNQZ9,2019-04-14,2020-01-05,8107
MNQ,daily,MNQH0,2019-04-14,2020-04-05,8196
MNQ,daily,MNQM0,2019-04-14,2020-07-05,8204
MNQ,daily,MNQU0,2019-06-09,2020-10-04,13081
MNQ,daily,MNQZ0,2019-09-08,2021-01-03,17706
MNQ,daily,MNQH1,2019-12-08,2021-04-04,6227
MNQ,daily,MNQM1,2020-03-08,2021-07-04,9485
MNQ,daily,MNQU1,2020-06-07,2021-10-03,3601
MNQ,daily,MNQZ1,2020-09-06,2022-01-02,1447
MNQ,daily,MNQH2,2020-12-06,2022-03-22,7575
MNQ,daily,MNQM2,2021-03-07,2022-06-26,13505
MNQ,daily,MNQU2,2021-06-06,2022-11-08,7688
MNQ,daily,MNQZ2,2021-09-05,2022-12-25,20332
MNQ,daily,MNQH3,2021-12-05,2023-05-30,8071
MNQ,daily,MNQM3,2022-03-06,2024-01-01,4973
MNQ,daily,MNQU3,2022-06-05,2024-01-01,9235
MNQ,daily,MNQZ3,2022-09-04,2024-01-01,34070
MNQ,daily,MNQH4,2022-12-04,2024-01-01,7101
