root,purpose,raw_symbol,error,message
MNQ,hourly,MNQH2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_hourly_MNQH2.dbn'
MNQ,hourly,MNQZ2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_hourly_MNQZ2.dbn'
MNQ,hourly,MNQM3,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_hourly_MNQM3.dbn'
MNQ,hourly,MNQU3,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_hourly_MNQU3.dbn'
MNQ,hourly,MNQH4,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_hourly_MNQH4.dbn'
MNQ,daily,MNQH9,SYMBOL_NOT_RESOLVED,
MNQ,daily,MNQM0,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQM0.dbn'
MNQ,daily,MNQU0,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQU0.dbn'
MNQ,daily,MNQZ0,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQZ0.dbn'
MNQ,daily,MNQH1,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQH1.dbn'
MNQ,daily,MNQM1,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQM1.dbn'
MNQ,daily,MNQU1,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQU1.dbn'
MNQ,daily,MNQZ2,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQZ2.dbn'
MNQ,daily,MNQZ3,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQZ3.dbn'
MNQ,daily,MNQH4,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\MNQ\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_MNQ_daily_MNQH4.dbn'
