root,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_raw_symbol,exit_raw_symbol,held_contracts_unit_plumbing,position_change_from_previous_pnl_row,entry_continuous_close,exit_continuous_close,price_change_points,contract_multiplier,gross_pnl_usd,etf_fee_per_side_usd,estimated_etf_fee_usd,net_after_etf_fees_usd,cumulative_gross_pnl_usd,cumulative_estimated_etf_fees_usd,cumulative_net_after_etf_fees_usd,cost_status,lookahead_status,backtest_row_status
ZF,2022-01-03T05:00:00Z,2022-01-03T06:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.5234375,122.5078125,-0.015625,1000.0,-15.625,1.41,0.0,-15.625,-15.625,0.0,-15.625,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T06:00:00Z,2022-01-03T07:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.5078125,122.5,-0.0078125,1000.0,-7.8125,1.41,0.0,-7.8125,-23.4375,0.0,-23.4375,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T07:00:00Z,2022-01-03T08:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.5,122.484375,-0.015625,1000.0,-15.625,1.41,0.0,-15.625,-39.0625,0.0,-39.0625,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T08:00:00Z,2022-01-03T09:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.484375,122.421875,-0.0625,1000.0,-62.5,1.41,0.0,-62.5,-101.5625,0.0,-101.5625,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T09:00:00Z,2022-01-03T10:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,2,1,122.421875,122.4609375,0.0390625,1000.0,78.125,1.41,1.41,76.715,-23.4375,1.41,-24.847499999999997,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T10:00:00Z,2022-01-03T11:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,-1,122.4609375,122.453125,-0.0078125,1000.0,-7.8125,1.41,1.41,-9.2225,-31.25,2.82,-34.06999999999999,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T11:00:00Z,2022-01-03T12:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.453125,122.453125,0.0,1000.0,0.0,1.41,0.0,0.0,-31.25,2.82,-34.06999999999999,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T12:00:00Z,2022-01-03T13:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,1,0,122.453125,122.4609375,0.0078125,1000.0,7.8125,1.41,0.0,7.8125,-23.4375,2.82,-26.257499999999993,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T13:00:00Z,2022-01-03T14:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,0,-1,122.4609375,122.2734375,-0.1875,1000.0,-0.0,1.41,1.41,-1.41,-23.4375,4.2299999999999995,-27.667499999999993,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZF,2022-01-03T14:00:00Z,2022-01-03T15:00:00Z,2022-01-03,2022-01-03,ZFH2,ZFH2,2,2,122.2734375,122.171875,-0.1015625,1000.0,-203.125,1.41,2.82,-205.945,-226.5625,7.049999999999999,-233.61249999999998,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
