root,purpose,raw_symbol,error,message
ZF,daily,ZFH1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFH1.dbn` already exists.
ZF,daily,ZFM1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFM1.dbn` already exists.
ZF,daily,ZFU1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFU1.dbn` already exists.
ZF,daily,ZFZ1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFZ1.dbn` already exists.
ZF,daily,ZFH2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFH2.dbn` already exists.
ZF,daily,ZFM2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFM2.dbn` already exists.
ZF,daily,ZFU2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFU2.dbn` already exists.
ZF,daily,ZFZ2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFZ2.dbn` already exists.
ZF,daily,ZFH3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFH3.dbn` already exists.
ZF,daily,ZFM3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFM3.dbn` already exists.
ZF,daily,ZFU3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFU3.dbn` already exists.
ZF,daily,ZFZ3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFZ3.dbn` already exists.
ZF,daily,ZFH4,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZF\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZF_daily_ZFH4.dbn` already exists.
