completed_trading_date,sigma_i_t,source_window_start,source_window_end,source_window_rows,method_status
2011-01-20,0.05122654527784365,2011-01-02,2011-01-20,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-21,0.051229735031695964,2011-01-02,2011-01-21,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-21,0.04935028945844849,2011-01-03,2011-01-21,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-23,0.04791371831587108,2011-01-03,2011-01-23,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-23,0.04635849677263561,2011-01-04,2011-01-23,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-24,0.07013466682600182,2011-01-04,2011-01-24,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-24,0.04160141093614851,2011-01-05,2011-01-24,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-25,0.05593237940864931,2011-01-05,2011-01-25,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-25,0.04292151424983656,2011-01-06,2011-01-25,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-26,0.05979909251351932,2011-01-06,2011-01-26,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-26,0.04171302782019301,2011-01-07,2011-01-26,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
2011-01-27,0.04102692634319646,2011-01-07,2011-01-27,34,STRATEGY_3_STYLE_EWMA32_PERCENT_RETURN_SIGMA_ANNUALIZED_256
