root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id
ZN,hourly,ZNH2,2021-12-31,2022-06-01,768155
ZN,hourly,ZNM2,2021-12-31,2022-06-28,146095
ZN,hourly,ZNU2,2021-12-31,2022-09-28,234665
ZN,hourly,ZNZ2,2022-03-09,2022-12-28,71412
ZN,hourly,ZNH3,2022-06-07,2023-04-11,397730
ZN,hourly,ZNM3,2022-09-07,2024-01-01,69078
ZN,hourly,ZNU3,2022-12-07,2024-01-01,338574
ZN,hourly,ZNZ3,2023-03-08,2024-01-01,12212
ZN,hourly,ZNH4,2023-06-07,2024-01-01,110030
ZN,daily,ZNH1,2010-12-31,2011-05-05,83568
ZN,daily,ZNM1,2010-12-31,2011-07-24,116177
ZN,daily,ZNU1,2010-12-31,2011-11-04,133520
ZN,daily,ZNZ1,2010-12-31,2012-02-04,578198
ZN,daily,ZNH2,2010-12-31,2012-05-05,745944
ZN,daily,ZNM2,2011-03-06,2012-08-04,328264
ZN,daily,ZNU2,2011-06-07,2012-11-04,585392
ZN,daily,ZNZ2,2011-09-07,2013-02-04,720496
ZN,daily,ZNH3,2011-12-07,2013-05-05,896125
ZN,daily,ZNM3,2012-03-08,2013-08-04,619999
ZN,daily,ZNU3,2012-06-06,2013-11-04,400198
ZN,daily,ZNZ3,2012-09-05,2014-02-04,780401
ZN,daily,ZNH4,2012-12-05,2014-05-05,381207
ZN,daily,ZNM4,2013-03-06,2014-07-07,617542
ZN,daily,ZNU4,2013-06-05,2014-10-05,241710
ZN,daily,ZNZ4,2013-09-05,2015-01-04,354456
ZN,daily,ZNH5,2013-12-05,2015-04-12,42281
ZN,daily,ZNM5,2014-03-06,2015-08-04,752340
ZN,daily,ZNU5,2014-06-05,2015-11-04,326771
ZN,daily,ZNZ5,2014-09-05,2016-01-06,184597
ZN,daily,ZNH6,2014-12-07,2016-04-04,72174
ZN,daily,ZNM6,2015-03-08,2016-08-04,771901
ZN,daily,ZNU6,2015-06-07,2016-11-04,732065
ZN,daily,ZNZ6,2015-09-08,2015-10-11,569354
ZN,daily,ZNZ6,2016-03-07,2017-01-05,120107
ZN,daily,ZNH7,2016-06-07,2017-04-05,208387
ZN,daily,ZNM7,2016-09-07,2017-07-16,353160
ZN,daily,ZNU7,2016-12-07,2017-10-08,357060
ZN,daily,ZNZ7,2017-03-09,2018-02-04,793429
ZN,daily,ZNH8,2017-06-07,2018-05-05,525443
ZN,daily,ZNM8,2017-09-06,2018-07-29,615592
ZN,daily,ZNU8,2017-12-06,2018-10-07,799743
ZN,daily,ZNZ8,2018-03-06,2019-01-06,480218
ZN,daily,ZNH9,2018-06-06,2019-04-03,98159
ZN,daily,ZNM9,2018-09-05,2019-07-03,126136
ZN,daily,ZNU9,2018-12-05,2019-11-04,596431
ZN,daily,ZNZ9,2019-03-06,2020-01-03,59121
ZN,daily,ZNH0,2019-06-05,2020-05-05,771691
ZN,daily,ZNM0,2019-09-05,2020-07-08,105872
ZN,daily,ZNU0,2019-12-06,2020-10-07,421732
ZN,daily,ZNZ0,2020-03-08,2021-01-10,480372
ZN,daily,ZNH1,2020-06-07,2021-04-05,204527
ZN,daily,ZNM1,2020-09-08,2021-07-06,408794
ZN,daily,ZNU1,2020-12-08,2021-11-04,703006
ZN,daily,ZNZ1,2021-03-09,2022-01-05,507886
ZN,daily,ZNH2,2021-06-07,2022-05-05,768155
ZN,daily,ZNM2,2021-09-07,2022-06-28,146095
ZN,daily,ZNU2,2021-12-07,2022-09-28,234665
ZN,daily,ZNZ2,2022-03-09,2022-12-28,71412
ZN,daily,ZNH3,2022-06-07,2023-04-11,397730
ZN,daily,ZNM3,2022-09-07,2023-08-04,69078
ZN,daily,ZNU3,2022-12-07,2023-11-04,338574
ZN,daily,ZNZ3,2023-03-08,2024-01-01,12212
ZN,daily,ZNH4,2023-06-07,2024-01-01,110030
