root,purpose,raw_symbol,error,message
ZN,daily,ZNM7,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM7.dbn` already exists.
ZN,daily,ZNU7,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\ZN\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU7.dbn'
ZN,daily,ZNH8,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\ZN\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH8.dbn'
ZN,daily,ZNU8,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\ZN\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU8.dbn'
ZN,daily,ZNZ8,FileExistsError,[Errno 17] File exists: 'C:\\Users\\openclaw\\Desktop\\Carver\\docs\\researchops\\s26_s27_candidate_comparison\\2022-01-01_2023-12-31\\ZN\\raw_provider_output\\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNZ8.dbn'
ZN,daily,ZNH9,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH9.dbn` already exists.
ZN,daily,ZNM9,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM9.dbn` already exists.
ZN,daily,ZNU9,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU9.dbn` already exists.
ZN,daily,ZNZ9,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNZ9.dbn` already exists.
ZN,daily,ZNH0,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH0.dbn` already exists.
ZN,daily,ZNM0,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM0.dbn` already exists.
ZN,daily,ZNH1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH1.dbn` already exists.
ZN,daily,ZNM1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM1.dbn` already exists.
ZN,daily,ZNU1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU1.dbn` already exists.
ZN,daily,ZNZ1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNZ1.dbn` already exists.
ZN,daily,ZNH2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH2.dbn` already exists.
ZN,daily,ZNM2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM2.dbn` already exists.
ZN,daily,ZNU2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU2.dbn` already exists.
ZN,daily,ZNZ2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNZ2.dbn` already exists.
ZN,daily,ZNH3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH3.dbn` already exists.
ZN,daily,ZNM3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNM3.dbn` already exists.
ZN,daily,ZNU3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNU3.dbn` already exists.
ZN,daily,ZNZ3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNZ3.dbn` already exists.
ZN,daily,ZNH4,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZN\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZN_daily_ZNH4.dbn` already exists.
