old_contract_key,new_contract_key,gap_status
ZTZ0_2020,ZTH1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTH1_2021,ZTM1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTM1_2021,ZTU1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTU1_2021,ZTZ1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTZ1_2021,ZTH2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTH2_2022,ZTM2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTM2_2022,ZTU2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTU2_2022,ZTZ2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTZ2_2022,ZTH3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTH3_2023,ZTM3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTM3_2023,ZTU3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTU3_2023,ZTZ3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ZTZ3_2023,ZTH4_2024,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
