old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_raw_symbol,new_raw_symbol,old_close,new_close,additive_delta_to_prior_history,roll_rule_status
ZTH1_2011,ZTM1_2011,2011-02-28,2011-02-16,ZTH1,ZTM1,109.078125,108.703125,-0.375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM1_2011,ZTU1_2011,2011-05-31,2011-05-19,ZTM1,ZTU1,109.765625,109.3515625,-0.4140625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU1_2011,ZTZ1_2011,2011-08-31,2011-08-19,ZTU1,ZTZ1,110.296875,110.2734375,-0.0234375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ1_2011,ZTH2_2012,2011-11-30,2011-11-18,ZTZ1,ZTH2,110.125,110.15625,0.03125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH2_2012,ZTM2_2012,2012-02-29,2012-02-17,ZTH2,ZTM2,110.2109375,110.140625,-0.0703125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM2_2012,ZTU2_2012,2012-05-31,2012-05-20,ZTM2,ZTU2,110.1953125,110.09375,-0.1015625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU2_2012,ZTZ2_2012,2012-08-31,2012-08-20,ZTU2,ZTZ2,110.1640625,110.1484375,-0.015625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ2_2012,ZTH3_2013,2012-11-30,2012-11-19,ZTZ2,ZTH3,110.25,110.2265625,-0.0234375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH3_2013,ZTM3_2013,2013-02-28,2013-02-15,ZTH3,ZTM3,110.1875,110.1328125,-0.0546875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM3_2013,ZTU3_2013,2013-05-31,2013-05-19,ZTM3,ZTU3,110.25,110.2109375,-0.0390625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU3_2013,ZTZ3_2013,2013-08-30,2013-08-19,ZTU3,ZTZ3,110.0625,109.875,-0.1875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ3_2013,ZTH4_2014,2013-11-29,2013-11-18,ZTZ3,ZTH4,110.265625,110.09375,-0.171875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH4_2014,ZTM4_2014,2014-02-28,2014-02-17,ZTH4,ZTM4,110.1328125,109.9140625,-0.21875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM4_2014,ZTU4_2014,2014-05-30,2014-05-19,ZTM4,ZTU4,110.1015625,109.8515625,-0.25,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU4_2014,ZTZ4_2014,2014-08-31,2014-08-18,ZTU4,ZTZ4,109.9140625,109.5859375,-0.328125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ4_2014,ZTH5_2015,2014-11-30,2014-11-18,ZTZ4,ZTH5,109.8046875,109.4296875,-0.375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH5_2015,ZTM5_2015,2015-02-27,2015-02-16,ZTH5,ZTM5,109.578125,109.1640625,-0.4140625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM5_2015,ZTU5_2015,2015-05-31,2015-05-19,ZTM5,ZTU5,109.6328125,109.2890625,-0.34375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU5_2015,ZTZ5_2015,2015-08-31,2015-08-19,ZTU5,ZTZ5,109.546875,109.28125,-0.265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ5_2015,ZTH6_2016,2015-11-30,2015-11-18,ZTZ5,ZTH6,109.0859375,108.8046875,-0.28125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH6_2016,ZTM6_2016,2016-02-29,2016-02-17,ZTH6,ZTM6,109.390625,109.3828125,-0.0078125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM6_2016,ZTU6_2016,2016-05-31,2016-05-19,ZTM6,ZTU6,109.078125,108.9453125,-0.1328125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU6_2016,ZTZ6_2016,2016-08-31,2016-08-19,ZTU6,ZTZ6,109.3046875,109.2265625,-0.078125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ6_2016,ZTH7_2017,2016-11-30,2016-11-18,ZTZ6,ZTH7,108.671875,108.4453125,-0.2265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH7_2017,ZTM7_2017,2017-02-28,2017-02-16,ZTH7,ZTM7,108.375,108.0625,-0.3125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM7_2017,ZTU7_2017,2017-05-31,2017-05-19,ZTM7,ZTU7,108.34375,108.21875,-0.125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU7_2017,ZTZ7_2017,2017-08-31,2017-08-20,ZTU7,ZTZ7,108.2265625,108.1171875,-0.109375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ7_2017,ZTH8_2018,2017-11-30,2017-11-19,ZTZ7,ZTH8,107.4921875,107.3359375,-0.15625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH8_2018,ZTM8_2018,2018-02-28,2018-02-16,ZTH8,ZTM8,106.5390625,106.28125,-0.2578125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM8_2018,ZTU8_2018,2018-05-31,2018-05-20,ZTM8,ZTU8,105.8984375,105.6796875,-0.21875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU8_2018,ZTZ8_2018,2018-08-31,2018-08-20,ZTU8,ZTZ8,105.8828125,105.75,-0.1328125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ8_2018,ZTH9_2019,2018-11-30,2018-11-19,ZTZ8,ZTH9,105.515625,105.5078125,-0.0078125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH9_2019,ZTM9_2019,2019-02-28,2019-02-15,ZTH9,ZTM9,106.015625,106.12109375,0.10546875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
