ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-07-25 15:00:00+00:00,34,1,512153,105.0234375,105.0234375,105.0234375,105.0234375,1,ZTZ2
2022-07-26 13:00:00+00:00,34,1,512153,105.09375,105.09375,105.09375,105.09375,1,ZTZ2
2022-07-27 15:00:00+00:00,34,1,512153,104.8984375,104.8984375,104.8984375,104.8984375,1,ZTZ2
2022-07-27 18:00:00+00:00,34,1,512153,105.0,105.0,105.0,105.0,1,ZTZ2
2022-07-28 00:00:00+00:00,34,1,512153,105.03125,105.03125,105.03125,105.03125,1,ZTZ2
2022-07-28 11:00:00+00:00,34,1,512153,105.21875,105.21875,105.21875,105.21875,2,ZTZ2
2022-07-28 12:00:00+00:00,34,1,512153,105.234375,105.28125,105.234375,105.28125,2,ZTZ2
2022-07-28 13:00:00+00:00,34,1,512153,105.41015625,105.41015625,105.41015625,105.41015625,1,ZTZ2
2022-07-28 20:00:00+00:00,34,1,512153,105.3125,105.3125,105.3125,105.3125,2,ZTZ2
2022-07-29 13:00:00+00:00,34,1,512153,105.26171875,105.26171875,105.26171875,105.26171875,1,ZTZ2
2022-07-29 14:00:00+00:00,34,1,512153,105.26171875,105.26171875,105.26171875,105.26171875,1,ZTZ2
2022-07-29 18:00:00+00:00,34,1,512153,105.26953125,105.26953125,105.26171875,105.26171875,8,ZTZ2
2022-08-01 18:00:00+00:00,34,1,512153,105.23828125,105.23828125,105.23828125,105.23828125,2,ZTZ2
2022-08-02 14:00:00+00:00,34,1,512153,105.15625,105.15625,105.15625,105.15625,1,ZTZ2
2022-08-02 18:00:00+00:00,34,1,512153,104.9765625,104.9765625,104.9765625,104.9765625,2,ZTZ2
2022-08-03 00:00:00+00:00,34,1,512153,104.8515625,104.8515625,104.8515625,104.8515625,4,ZTZ2
2022-08-03 08:00:00+00:00,34,1,512153,105.0,105.0,105.0,105.0,8,ZTZ2
2022-08-03 14:00:00+00:00,34,1,512153,104.765625,104.765625,104.765625,104.765625,1,ZTZ2
2022-08-03 15:00:00+00:00,34,1,512153,104.78515625,104.78515625,104.78515625,104.78515625,1,ZTZ2
2022-08-03 16:00:00+00:00,34,1,512153,104.828125,104.828125,104.828125,104.828125,3,ZTZ2
