root,purpose,raw_symbol,error,message
ZT,daily,ZTH1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTH1.dbn` already exists.
ZT,daily,ZTM1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTM1.dbn` already exists.
ZT,daily,ZTU1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTU1.dbn` already exists.
ZT,daily,ZTZ1,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTZ1.dbn` already exists.
ZT,daily,ZTH2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTH2.dbn` already exists.
ZT,daily,ZTM2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTM2.dbn` already exists.
ZT,daily,ZTU2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTU2.dbn` already exists.
ZT,daily,ZTZ2,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTZ2.dbn` already exists.
ZT,daily,ZTH3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTH3.dbn` already exists.
ZT,daily,ZTM3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTM3.dbn` already exists.
ZT,daily,ZTU3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTU3.dbn` already exists.
ZT,daily,ZTZ3,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTZ3.dbn` already exists.
ZT,daily,ZTH4,FileExistsError,The file `C:\Users\openclaw\Desktop\Carver\docs\researchops\s26_s27_candidate_comparison\2022-01-01_2023-12-31\ZT\raw_provider_output\20260531_S27_SOURCE_NATIVE_CANDIDATE_COMPARISON_2022_2023_ZT_daily_ZTH4.dbn` already exists.
