root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id,symbology_status
ES,signal_hourly,ESH2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESM2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESU2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESZ2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESH3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESM3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESU3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESZ3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_hourly,ESH4,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH1,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM1,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU1,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESZ1,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESZ2,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESZ3,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH4,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM4,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU4,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESZ4,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH5,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM5,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU5,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESZ5,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESH6,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESM6,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
ES,signal_daily,ESU6,,,,CACHED_PROVIDER_CSV_USED_SYMBOLOGY_NOT_REQUERIED
