old_contract_key,new_contract_key,gap_status
ESZ0_2020,ESH1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESH1_2021,ESM1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESM1_2021,ESU1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESU1_2021,ESZ1_2021,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESZ1_2021,ESH2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESH2_2022,ESM2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESM2_2022,ESU2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESU2_2022,ESZ2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESZ2_2022,ESH3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESH3_2023,ESM3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESM3_2023,ESU3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESU3_2023,ESZ3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
ESZ3_2023,ESH4_2024,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
