gate,window_label,strategy_variant,dimension_type,dimension_value,row_count,gross_pnl_usd,estimated_etf_fees_usd,net_after_etf_fees_usd,total_fee_sides
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,year,2022,5874,1531.25,525.48,1005.7700000000003,348
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,year,2023,5896,1437.5,691.58,745.9200000000003,458
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNH2,659,-531.25,84.56,-615.8100000000001,56
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNH3,1415,515.625,160.06,355.5650000000001,106
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNH4,705,343.75,33.22,310.53,22
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNM2,1490,1437.5,141.94,1295.5600000000002,94
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNM3,1509,-718.75,144.96,-863.7099999999998,96
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNU2,1506,125.0,108.72,16.280000000000094,72
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNU3,1505,859.375,178.18,681.195,118
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNZ2,1490,578.125,114.76,463.36500000000007,76
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,contract,ZNZ3,1491,359.375,250.66,108.71500000000007,166
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,side,FLAT,11060,0.0,561.72,-561.72,372
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,side,LONG,120,234.375,114.76,119.61500000000011,76
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,side,SHORT,590,2734.375,540.58,2193.7950000000005,358
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,position_bucket,0,11060,0.0,561.72,-561.72,372
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,position_bucket,1,658,3718.75,566.25,3152.5000000000005,375
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,UNIT_NO_LADDER_SAME_INPUT,position_bucket,2,52,-750.0,89.09,-839.0899999999998,59
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,year,2022,5874,6093.75,2191.01,3902.7400000000016,1451
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,year,2023,5896,4250.0,2810.11,1439.8900000000017,1861
