audited_file,audited_file_sha256,line_number,import_kind,module,disallowed_import,independence_status
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,1,from,__future__,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,3,import,csv,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,4,import,hashlib,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,5,import,json,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,6,import,math,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,7,from,collections,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,8,from,dataclasses,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,9,from,datetime,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,10,from,pathlib,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
tools\audit\carver_s27_zn_mechanical_verifier.py,E426668D744D1010DF3003F8AAE48353171F02DBAD65005A9CF277D4738E1A4F,11,from,typing,NO,PASS_STDLIB_OR_LOCAL_CONSTANT_ONLY
