period_label,stage,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_raw_symbol,exit_raw_symbol,held_contracts,roll_fee_model,reported_roll_transition_fee_sides,expected_roll_transition_fee_sides,reported_roll_fee_usd,roll_event_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2022-02-11T22:00:00Z,2022-02-14T00:00:00Z,2022-02-11,2022-02-14,ZNH2,ZNM2,-1,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,2,2,3.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2022-05-16T21:00:00Z,2022-05-16T23:00:00Z,2022-05-16,2022-05-17,ZNM2,ZNU2,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2022-08-16T21:00:00Z,2022-08-16T23:00:00Z,2022-08-16,2022-08-17,ZNU2,ZNZ2,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2022-11-15T22:00:00Z,2022-11-16T00:00:00Z,2022-11-15,2022-11-16,ZNZ2,ZNH3,-1,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,2,2,3.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2023-02-13T22:00:00Z,2023-02-14T00:00:00Z,2023-02-13,2023-02-14,ZNH3,ZNM3,-1,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,2,2,3.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2023-05-16T21:00:00Z,2023-05-16T23:00:00Z,2023-05-16,2023-05-17,ZNM3,ZNU3,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2023-08-16T21:00:00Z,2023-08-16T23:00:00Z,2023-08-16,2023-08-17,ZNU3,ZNZ3,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,2023-11-15T22:00:00Z,2023-11-16T00:00:00Z,2023-11-15,2023-11-16,ZNZ3,ZNH4,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,2024-02-14T22:00:00Z,2024-02-15T00:00:00Z,2024-02-14,2024-02-15,ZNH4,ZNM4,-1,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,2,2,3.02,PASS
ZN_2024_VALIDATION,VALIDATION,2024-05-16T21:00:00Z,2024-05-16T23:00:00Z,2024-05-16,2024-05-17,ZNM4,ZNU4,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,2024-08-15T21:00:00Z,2024-08-15T23:00:00Z,2024-08-15,2024-08-16,ZNU4,ZNZ4,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,2024-11-14T22:00:00Z,2024-11-15T00:00:00Z,2024-11-14,2024-11-15,ZNZ4,ZNH5,0,PAIRED_CLOSE_OPEN_TWO_SIDES_PER_HELD_CONTRACT_ONLY_WHEN_POSITION_NONZERO,0,0,0.0,PASS
