period_label,stage,check_name,observed_count,check_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,forecast_timestamps_unique,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,hourly_timestamps_unique,11775,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,ladder_timestamps_subset_forecast,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,position_timestamps_subset_ladder,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,backtest_entry_timestamps_subset_position,11770,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,backtest_entry_timestamps_subset_hourly,11770,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,backtest_exit_timestamps_subset_hourly,11770,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,non_empty_sha_inputs,5,PASS
ZN_2024_VALIDATION,VALIDATION,forecast_timestamps_unique,5919,PASS
ZN_2024_VALIDATION,VALIDATION,hourly_timestamps_unique,5923,PASS
ZN_2024_VALIDATION,VALIDATION,ladder_timestamps_subset_forecast,5919,PASS
ZN_2024_VALIDATION,VALIDATION,position_timestamps_subset_ladder,5919,PASS
ZN_2024_VALIDATION,VALIDATION,backtest_entry_timestamps_subset_position,5918,PASS
ZN_2024_VALIDATION,VALIDATION,backtest_entry_timestamps_subset_hourly,5918,PASS
ZN_2024_VALIDATION,VALIDATION,backtest_exit_timestamps_subset_hourly,5918,PASS
ZN_2024_VALIDATION,VALIDATION,non_empty_sha_inputs,5,PASS
