period_label,stage,check_name,reported_value,replayed_value,absolute_difference,check_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,backtest_row_count,11770,11770,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,gross_pnl_sum,10343.75,10343.75,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,fee_sum,5001.12,5001.12,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,net_pnl_sum,5342.630000000004,5342.630000000004,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,reported_status_gross,10343.75,10343.75,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,reported_status_net,5342.630000000004,5342.630000000004,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,backtest_row_count,5918,5918,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,gross_pnl_sum,29968.75,29968.75,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,fee_sum,5349.93,5349.93,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,net_pnl_sum,24618.820000000003,24618.820000000003,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,reported_status_gross,29968.75,29968.75,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,reported_status_net,24618.820000000003,24618.820000000003,0.0,PASS
