period_label,stage,check_name,entry_bar_end_utc,exit_bar_end_utc,reported_contracts,replayed_contracts,reported_price_change_points,replayed_price_change_points,reported_gross_pnl_usd,replayed_gross_pnl_usd,reported_net_after_fees_usd,replayed_net_after_fees_usd,check_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-13T12:00:00Z,2023-03-13T13:00:00Z,-5,-5,0.484375,0.484375,-2421.875,-2421.875,-2426.405,-2426.405,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-13T09:00:00Z,2023-03-13T10:00:00Z,-4,-4,0.59375,0.59375,-2375.0,-2375.0,-2381.04,-2381.04,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-01T10:00:00Z,2022-03-01T11:00:00Z,-4,-4,0.5625,0.5625,-2250.0,-2250.0,-2253.02,-2253.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-01-06T15:00:00Z,2023-01-06T16:00:00Z,-2,-2,0.9375,0.9375,-1875.0,-1875.0,-1881.04,-1881.04,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-10T15:00:00Z,2023-03-10T16:00:00Z,-6,-6,0.3125,0.3125,-1875.0,-1875.0,-1881.04,-1881.04,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-11-30T21:00:00Z,2022-11-30T22:00:00Z,-5,-5,0.328125,0.328125,-1640.625,-1640.625,-1642.135,-1642.135,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-15T13:00:00Z,2023-03-15T14:00:00Z,-3,-3,0.515625,0.515625,-1546.875,-1546.875,-1548.385,-1548.385,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-15T10:00:00Z,2023-03-15T11:00:00Z,-2,-2,0.71875,0.71875,-1437.5,-1437.5,-1440.52,-1440.52,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-10-04T12:00:00Z,2023-10-04T13:00:00Z,-6,-6,0.234375,0.234375,-1406.25,-1406.25,-1413.8,-1413.8,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-01T11:00:00Z,2022-03-01T12:00:00Z,-7,-7,0.1875,0.1875,-1312.5,-1312.5,-1317.03,-1317.03,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-01T12:00:00Z,2022-03-01T13:00:00Z,-7,-7,-0.1875,-0.1875,1312.5,1312.5,1312.5,1312.5,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-12-30T18:00:00Z,2022-12-30T19:00:00Z,-4,-4,-0.359375,-0.359375,1437.5,1437.5,1431.46,1431.46,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-09-01T13:00:00Z,2023-09-01T14:00:00Z,-3,-3,-0.484375,-0.484375,1453.125,1453.125,1451.615,1451.615,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-13T10:00:00Z,2023-03-13T11:00:00Z,-5,-5,-0.375,-0.375,1875.0,1875.0,1873.49,1873.49,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-06-13T13:00:00Z,2023-06-13T14:00:00Z,-3,-3,-0.65625,-0.65625,1968.75,1968.75,1964.22,1964.22,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-12T23:00:00Z,2023-03-13T00:00:00Z,-3,-3,-0.671875,-0.671875,2015.625,2015.625,2011.095,2011.095,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-13T13:00:00Z,2023-03-13T14:00:00Z,-5,-5,-0.453125,-0.453125,2265.625,2265.625,2265.625,2265.625,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-04T01:00:00Z,2022-03-04T02:00:00Z,-5,-5,-0.625,-0.625,3125.0,3125.0,3117.45,3117.45,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-10T16:00:00Z,2023-03-10T17:00:00Z,-6,-6,-0.609375,-0.609375,3656.25,3656.25,3656.25,3656.25,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-13T15:00:00Z,2023-03-13T16:00:00Z,-5,-5,-0.75,-0.75,3750.0,3750.0,3743.96,3743.96,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-03-02T17:00:00Z,2023-03-02T18:00:00Z,0,0,0.015625,0.015625,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-02-10T01:00:00Z,2023-02-10T02:00:00Z,1,1,0.0,0.0,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-10-04T21:00:00Z,2023-10-04T23:00:00Z,-1,-1,0.015625,0.015625,-15.625,-15.625,-18.645,-18.645,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-10-31T00:00:00Z,2022-10-31T01:00:00Z,0,0,-0.234375,-0.234375,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-01-09T05:00:00Z,2023-01-09T06:00:00Z,0,0,0.015625,0.015625,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-01-31T14:00:00Z,2023-01-31T15:00:00Z,0,0,-0.03125,-0.03125,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-07-27T05:00:00Z,2022-07-27T06:00:00Z,0,0,0.03125,0.03125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-06-16T08:00:00Z,2023-06-16T09:00:00Z,0,0,0.078125,0.078125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-04-18T12:00:00Z,2022-04-18T13:00:00Z,0,0,0.1875,0.1875,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-08-01T12:00:00Z,2022-08-01T13:00:00Z,0,0,-0.046875,-0.046875,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-02-07T17:00:00Z,2023-02-07T18:00:00Z,1,1,0.375,0.375,375.0,375.0,373.49,373.49,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-07-19T02:00:00Z,2022-07-19T03:00:00Z,0,0,0.03125,0.03125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-08-28T10:00:00Z,2023-08-28T11:00:00Z,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-09-29T16:00:00Z,2023-09-29T17:00:00Z,0,0,-0.046875,-0.046875,-0.0,-0.0,-3.02,-3.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-04-22T08:00:00Z,2022-04-22T09:00:00Z,0,0,-0.015625,-0.015625,-0.0,-0.0,-1.51,-1.51,PASS
