gate,window_label,evidence_class_before_reconciliation,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_year,entry_raw_symbol,exit_raw_symbol,entry_continuous_close,exit_continuous_close,price_change_points,capped_forecast,unit_no_ladder_contracts,m1_ladder_contracts,unit_side,m1_ladder_side,unit_position_bucket,m1_ladder_position_bucket,unit_position_change_from_previous_pnl_row,m1_ladder_position_change_from_previous_pnl_row,unit_total_fee_sides,m1_ladder_total_fee_sides,unit_gross_pnl_usd,unit_estimated_etf_fee_usd,unit_net_after_etf_fees_usd,m1_ladder_gross_pnl_usd,m1_ladder_estimated_etf_fee_usd,m1_ladder_net_after_etf_fees_usd,net_delta_m1_ladder_minus_unit_usd,gross_delta_m1_ladder_minus_unit_usd,fee_delta_m1_ladder_minus_unit_usd,unit_cumulative_net_after_etf_fees_usd,m1_ladder_cumulative_net_after_etf_fees_usd,same_input_status,lane,s27_opposes_trend,relative_volatility_v,quantile_q,vol_multiplier_m_ewma10,s27_trend_forecast_proxy_fast_minus_slow,s26_raw_forecast,adjusted_raw_forecast,forecast_status
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T04:00:00Z,2022-01-04T05:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.65625,131.65625,0.0,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.039737654321015725,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T05:00:00Z,2022-01-04T06:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.65625,131.671875,0.015625,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.026491769547362765,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T06:00:00Z,2022-01-04T07:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.671875,131.640625,-0.03125,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.007244513031594124,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T07:00:00Z,2022-01-04T08:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.640625,131.734375,0.09375,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.025663008687729416,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T08:00:00Z,2022-01-04T09:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.734375,131.625,-0.109375,-2.66770672438203,0,-1,FLAT,SHORT,0,1,0,-1,0,1,-0.0,0.0,-0.0,109.375,1.51,107.865,107.865,109.375,1.51,0.0,107.865,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,NO,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,-0.045391327541494775,-0.044085104233033995,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T09:00:00Z,2022-01-04T10:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.625,131.671875,0.046875,0.0,0,0,FLAT,FLAT,0,0,0,1,0,1,0.0,0.0,0.0,0.0,1.51,-1.51,-1.51,0.0,1.51,0.0,106.355,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.04265578163901296,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T10:00:00Z,2022-01-04T11:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.671875,131.65625,-0.015625,-0.1653910626771328,0,0,FLAT,FLAT,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.355,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,NO,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,-0.0028128122406485545,-0.0027318681240064454,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T11:00:00Z,2022-01-04T12:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.65625,131.5625,-0.09375,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.355,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.008541458506243771,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T12:00:00Z,2022-01-04T13:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.5625,131.390625,-0.171875,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.355,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.06819430567082918,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,DEVELOPMENT_RECONCILIATION,2022-01-04T13:00:00Z,2022-01-04T14:00:00Z,2022-01-04,2022-01-04,2022,ZNH2,ZNH2,131.390625,131.484375,0.09375,0.0,0,0,FLAT,FLAT,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.355,PASS_IDENTICAL_ENTRY_EXIT_HOURLY_ROW_SET,SOURCE_NATIVE_FUTURES,YES,0.9952651513606905,0.698870765370138,0.9712230644220157,-0.05287224976058269,0.1600462037805528,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
