gate,lane,window_label,evidence_class,bucket_index,rows,min_abs_capped_forecast,max_abs_capped_forecast,mean_abs_capped_forecast,mean_signal_aligned_forward_points,mean_signal_aligned_forward_usd_per_contract,structure_status,spearman_bucket_vs_mean_signal_aligned
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,1,1177,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,2,1177,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,3,1177,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,4,1177,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,5,1177,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,6,1177,0.0,0.4868393436,0.2079914559,-0.0005177358,-0.5177357689,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,7,1177,0.4870240643,1.1130732544,0.7781019988,-0.0026285047,-2.6285046729,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,8,1177,1.1131288316,2.0511639647,1.5494533809,0.0086953059,8.6953058624,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,9,1177,2.0521518127,3.7045572744,2.7711574147,0.0027745327,2.7745327103,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,10,1177,3.7051296312,20.0,6.8459648007,0.0023762744,2.3762744265,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.4202303195
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,1,591,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,2,592,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,3,592,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,4,592,0.0,0.0,0.0,0.0,0.0,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,5,592,0.0,0.0034681976,1.43426e-05,5.27872e-05,0.0527871622,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,6,591,0.0056190339,0.899493978,0.4401316497,-0.0009517766,-0.9517766497,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,7,592,0.9010995049,1.8383628013,1.3547291413,0.0018211571,1.8211570946,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,8,592,1.8388020564,3.1287955267,2.4319266064,-0.0062552787,-6.2552787162,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,9,592,3.1357643729,5.4193261994,4.1547059707,-0.000316723,-0.316722973,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,10,592,5.4261677839,20.0,9.8128027026,0.0126953125,12.6953125,FORECAST_BUCKET_MONOTONICITY_INPUT_NOT_PASS_FAIL,0.03126527
