gate,lane,window_label,evidence_class,structure_kind,horizon_bars,rows,mean_signal_aligned_forward_points,mean_signal_aligned_forward_usd_per_contract,positive_aligned_share,status
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,1,11769,0.0010740611,1.0740610927,0.2293312941,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,2,11768,0.0012613656,1.2613655676,0.2369136642,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,4,11766,0.002964049,2.9640489546,0.2424783274,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,8,11762,0.0063419274,6.3419273933,0.248852236,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,16,11754,0.0074442743,7.4442742896,0.2507231581,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,1,5917,0.0007050659,0.7050659118,0.2325502789,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,2,5916,0.0013654708,1.3654707573,0.2356321839,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,4,5914,0.0020105893,2.0105892797,0.2382482246,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,8,5910,0.0015519247,1.5519247039,0.2351945854,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,FORWARD_HORIZON_SIGNAL_ALIGNED_REVERSAL,16,5902,0.0009530668,0.953066757,0.2407658421,MEAN_REVERSION_FORWARD_HORIZON_STRUCTURE_NOT_PASS_FAIL
