gate,lane,window_label,evidence_class,measure,rows,active_rows,long_rows,short_rows,flat_rows,gross_pnl_usd,estimated_fee_usd,net_pnl_usd,beta_strip_contracts,baseline_interpretation,status
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,UNIT_NO_LADDER,11770,710,120,590,11060,2968.75,1217.06,1751.69,,STRATEGY_MEASURE_NOT_BETA_STRIP,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,M1_LADDER,11770,2537,572,1965,9233,10343.75,5001.1200000003,5342.6299999997,,STRATEGY_MEASURE_NOT_BETA_STRIP,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,CONSTANT_LONG_ONE_CONTRACT_BETA_STRIP,11770,11770,11770,0,0,-18968.75,24.16,-18992.91,1.0,CONSTANT_LONG_ONE_CONTRACT_BETA_BASELINE_NOT_STRATEGY,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,CONSTANT_LONG_MATCHED_AVG_ABS_POSITION_BETA_STRIP,11770,11770,11770,0,0,-6072.5785891125,7.7344842824,-6080.3130733949,0.3201359388,ATTRIBUTION_ONLY_FRACTIONAL_EXPOSURE_BASELINE_NOT_TRADABLE_POSITION,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,SIGNAL_ATTRIBUTABLE_M1_MINUS_MATCHED_AVG_ABS_BETA,11770,2537,572,1965,9233,16416.3285891125,4993.3855157179,11422.9430733946,0.3201359388,ATTRIBUTION_ONLY_M1_MINUS_FRACTIONAL_BETA_BASELINE_NOT_TRADABLE_POSITION,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,UNIT_NO_LADDER,5918,666,298,368,5252,8453.125,1156.66,7296.465,,STRATEGY_MEASURE_NOT_BETA_STRIP,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,M1_LADDER,5918,2041,916,1125,3877,29968.75,5349.9300000002,24618.8199999998,,STRATEGY_MEASURE_NOT_BETA_STRIP,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,CONSTANT_LONG_ONE_CONTRACT_BETA_STRIP,5918,5918,5918,0,0,-5312.5,12.08,-5324.58,1.0,CONSTANT_LONG_ONE_CONTRACT_BETA_BASELINE_NOT_STRATEGY,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,CONSTANT_LONG_MATCHED_AVG_ABS_POSITION_BETA_STRIP,5918,5918,5918,0,0,-3701.1553734688,8.4159918892,-3709.571365358,0.6966880703,ATTRIBUTION_ONLY_FRACTIONAL_EXPOSURE_BASELINE_NOT_TRADABLE_POSITION,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,SIGNAL_ATTRIBUTABLE_M1_MINUS_MATCHED_AVG_ABS_BETA,5918,2041,916,1125,3877,33669.9053734688,5341.514008111,28328.3913653578,0.6966880703,ATTRIBUTION_ONLY_M1_MINUS_FRACTIONAL_BETA_BASELINE_NOT_TRADABLE_POSITION,DEV_RECON_SUMMARY_NOT_ALPHA_NOT_LOCKBOX
