row_id,appendix_table,source_group,descriptive_name,author_market_code,local_canonical_instrument_id,contract_identity_status,session_roll_readiness_status,session_calendar_status,session_calendar_reference,trading_hours_template,trading_hours_template_status,timezone_status,timezone_reference,daily_close_time_status,daily_close_time_reference,completed_bar_policy_status,completed_bar_policy_reference,holiday_calendar_status,holiday_calendar_reference,early_close_policy_status,early_close_policy_reference,roll_rule_status,roll_rule_reference,delivery_cycle_status,delivery_cycle_reference,back_adjustment_status,back_adjustment_reference,stale_bar_policy_status,missing_bar_policy_status,alignment_policy_status,market_row_access_status,provider_api_accessed,ninjatrader_export_used,production_session_roll_lock_status,substitution_status,block_reason,notes
APPENDIX_C_172_001,172,US bond and interest rate futures,2-year US,ZT,CARVER_APPENDIX_C_172_001_ZT,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_002,172,US bond and interest rate futures,3-year US,Z3N,CARVER_APPENDIX_C_172_002_Z3N,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_003,172,US bond and interest rate futures,5-year US,ZF,CARVER_APPENDIX_C_172_003_ZF,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_004,172,US bond and interest rate futures,10-year US,ZN,CARVER_APPENDIX_C_172_004_ZN,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_005,172,US bond and interest rate futures,10-year Ultra US,TN,CARVER_APPENDIX_C_172_005_TN,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_006,172,US bond and interest rate futures,20-year US,ZB,CARVER_APPENDIX_C_172_006_ZB,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_007,172,US bond and interest rate futures,30-year US,UB,CARVER_APPENDIX_C_172_007_UB,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate ETH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,CARVER_APPENDIX_C_172_008_LIW,CONTRACT_IDENTITY_BLOCKED_UNAVAILABLE,SESSION_ROLL_BLOCKED_CONTRACT_IDENTITY,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,,UNAVAILABLE,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_OR_UNAVAILABLE,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,BLOCKED_CONTRACT_IDENTITY_NOT_RESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Contract identity is CONTRACT_IDENTITY_BLOCKED_UNAVAILABLE; session/roll/completed-bar readiness cannot proceed.,"Fail-closed because provider mapping or contract identity remains blocked. No row may be dropped, substituted, or reweighted."
APPENDIX_C_172_009,172,US bond and interest rate futures,10-year US Swap,N1U,CARVER_APPENDIX_C_172_009_N1U,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CBOT Interest Rate RTH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
APPENDIX_C_172_010,172,US bond and interest rate futures,Eurodollar,GE,CARVER_APPENDIX_C_172_010_GE,CONTRACT_IDENTITY_REQUIRES_REVIEW,SESSION_ROLL_BLOCKED_NO_COMPLETED_BAR_POLICY,UNRESOLVED_PROVIDER_TRADING_HOURS_TEMPLATE_PRESENT_NOT_SESSION_CALENDAR_LOCK,docs/researchops/contract_specs/CARVER_APPENDIX_C_STATIC_CONTRACT_SPEC_EVIDENCE_INTAKE_2026-05-29.csv,CME FX Futures RTH,PROVIDER_STATIC_MASTER_FIELD_PRESENT_NOT_SESSION_READINESS,UNRESOLVED_NO_STATIC_TIMEZONE_POLICY,,UNRESOLVED_NO_STATIC_DAILY_CLOSE_TIME_POLICY,,BLOCKED_NO_STATIC_COMPLETED_BAR_POLICY,,UNRESOLVED_NO_STATIC_HOLIDAY_CALENDAR,,UNRESOLVED_NO_STATIC_EARLY_CLOSE_POLICY,,BLOCKED_NO_STATIC_ROLL_RULE_EVIDENCE,,UNRESOLVED_UNAVAILABLE_IN_STATIC_PROVIDER_MASTER_EXTRACT,,BLOCKED_NO_STATIC_BACK_ADJUSTMENT_POLICY,,BLOCKED_STALE_BAR_POLICY_UNRESOLVED,BLOCKED_MISSING_BAR_POLICY_UNRESOLVED,BLOCKED_ALIGNMENT_POLICY_UNRESOLVED,NO_MARKET_ROW_ACCESS,NO,NO,NOT_LOCKED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,"No audited static completed-bar timestamp policy; no audited static roll rule; no audited static back-adjustment policy; contract identity is still review-required, not source-native locked.","Provider trading-hours template is preserved when present, but it is not a session calendar, daily close, timezone, holiday, early-close, completed-bar, roll, or back-adjustment lock."
