locked_raw_symbol,instrument_id,provider_csv,definition_csv,row_count,status
ZTM6,42370722,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_ZTM6_42370722_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_ZTM6_42370722_provider.csv,142,RAW_AND_DEFINITION_FILES_PRESENT
ZFM6,42156042,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_ZFM6_42156042_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_ZFM6_42156042_provider.csv,148,RAW_AND_DEFINITION_FILES_PRESENT
ZNM6,42000661,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_ZNM6_42000661_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_ZNM6_42000661_provider.csv,173,RAW_AND_DEFINITION_FILES_PRESENT
MESM6,42005163,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_MESM6_42005163_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_MESM6_42005163_provider.csv,232,RAW_AND_DEFINITION_FILES_PRESENT
MNQM6,42004936,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_MNQM6_42004936_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_MNQM6_42004936_provider.csv,231,RAW_AND_DEFINITION_FILES_PRESENT
M2KM6,42002073,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_M2KM6_42002073_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_M2KM6_42002073_provider.csv,193,RAW_AND_DEFINITION_FILES_PRESENT
MYMM6,42002662,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_MYMM6_42002662_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_MYMM6_42002662_provider.csv,190,RAW_AND_DEFINITION_FILES_PRESENT
QMN6,3159,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_QMN6_3159_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_QMN6_3159_provider.csv,123,RAW_AND_DEFINITION_FILES_PRESENT
RBN6,781272,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_RBN6_781272_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_RBN6_781272_provider.csv,278,RAW_AND_DEFINITION_FILES_PRESENT
ZCN6,495552,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_ohlcv-1d_ZCN6_495552_full_available_provider.csv,docs\researchops\source_native_futures_daily_data_library\16_SYMBOL_FULL_DAILY_HISTORY\raw_provider_archive\DATABENTO\20260530_DATED_CONTRACT_FULL_AVAILABLE_HISTORY_PER_SYMBOL_CURRENT_IDS\raw_provider_output\databento_GLBX-MDP3_definition_ZCN6_495552_provider.csv,560,RAW_AND_DEFINITION_FILES_PRESENT
