ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol
2025-06-08T11:05:24.208881598Z,2025-06-08T11:05:24.057167403Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-08T19:36:52.502573046Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-09T00:00:00.000000000Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-10T00:00:00.000000000Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-11T00:00:00.000000000Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-12T00:00:00.000000000Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-13T00:00:00.000000000Z,2025-06-08T19:36:52.389825545Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-15T12:05:52.606277843Z,2025-06-15T12:05:52.471397687Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-16T00:00:00.000000000Z,2025-06-15T12:05:52.471397687Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
2025-06-17T00:00:00.000000000Z,2025-06-15T12:05:52.471397687Z,19,1,42002662,MYMM6,A,F,1.000000000,1.000000000,2026-06-18T13:30:00.000000000Z,2025-06-20T13:30:00.000000000Z,,0.000000000,90.000000000,0.500000000,0.500000000,,270411,0,42002662,0,10,68,500,0,0,0,1,2147483647,2147483647,2147483647,342,2026,65535,17,USD,,,YM,XCBT,MYM,FFIXSX,FUT,IPNT,,,,F,255,255,255,5,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,MYMM6
