ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-10-10 00:00:00+00:00,35,1,608206,48.58,48.58,48.58,48.58,1,ZLN6
2024-02-05 00:00:00+00:00,35,1,608206,44.5,44.5,44.3,44.3,2,ZLN6
2024-06-14 00:00:00+00:00,35,1,608206,43.68,43.68,43.68,43.68,1,ZLN6
2024-07-02 00:00:00+00:00,35,1,608206,44.88,44.88,44.88,44.88,1,ZLN6
2024-07-05 00:00:00+00:00,35,1,608206,46.3,46.3,46.3,46.3,1,ZLN6
2024-07-17 00:00:00+00:00,35,1,608206,42.89,42.89,42.88,42.88,2,ZLN6
2024-07-19 00:00:00+00:00,35,1,608206,42.28,42.28,42.28,42.28,1,ZLN6
2024-07-26 00:00:00+00:00,35,1,608206,42.43,42.43,41.88,41.88,3,ZLN6
2024-08-19 00:00:00+00:00,35,1,608206,39.78,39.78,39.78,39.78,1,ZLN6
2024-08-26 00:00:00+00:00,35,1,608206,40.78,40.78,40.78,40.78,1,ZLN6
2024-09-06 00:00:00+00:00,35,1,608206,40.74,40.74,40.49,40.64,104,ZLN6
2024-09-11 00:00:00+00:00,35,1,608206,40.44,40.44,40.44,40.44,3,ZLN6
2024-09-12 00:00:00+00:00,35,1,608206,41.04,41.06,41.04,41.06,2,ZLN6
2024-09-13 00:00:00+00:00,35,1,608206,40.41,40.41,40.22,40.22,2,ZLN6
2024-09-19 00:00:00+00:00,35,1,608206,41.63,41.63,41.63,41.63,1,ZLN6
2024-09-24 00:00:00+00:00,35,1,608206,42.87,43.21,42.87,43.21,3,ZLN6
2024-09-25 00:00:00+00:00,35,1,608206,43.76,43.76,43.75,43.75,4,ZLN6
2024-10-25 00:00:00+00:00,35,1,608206,43.8,43.98,43.74,43.74,81,ZLN6
2024-10-31 00:00:00+00:00,35,1,608206,44.09,44.09,44.09,44.09,1,ZLN6
2024-11-07 00:00:00+00:00,35,1,608206,47.54,47.54,47.54,47.54,1,ZLN6
2024-11-13 00:00:00+00:00,35,1,608206,45.23,45.23,45.23,45.23,1,ZLN6
2024-11-14 00:00:00+00:00,35,1,608206,44.7,44.7,44.7,44.7,1,ZLN6
2024-11-21 00:00:00+00:00,35,1,608206,43.57,43.57,43.24,43.46,68,ZLN6
2024-11-22 00:00:00+00:00,35,1,608206,43.0,43.0,42.7,42.7,149,ZLN6
2024-11-25 00:00:00+00:00,35,1,608206,42.0,42.0,42.0,42.0,11,ZLN6
2024-11-27 00:00:00+00:00,35,1,608206,42.0,42.0,41.81,41.81,14,ZLN6
2024-12-03 00:00:00+00:00,35,1,608206,42.45,43.18,42.45,43.18,7,ZLN6
2024-12-10 00:00:00+00:00,35,1,608206,43.21,43.58,43.15,43.57,51,ZLN6
2024-12-11 00:00:00+00:00,35,1,608206,43.14,43.14,43.14,43.14,3,ZLN6
2024-12-16 00:00:00+00:00,35,1,608206,43.21,43.21,42.89,42.89,39,ZLN6
2024-12-17 00:00:00+00:00,35,1,608206,42.71,42.71,41.72,41.87,68,ZLN6
2024-12-18 00:00:00+00:00,35,1,608206,41.72,41.72,41.15,41.15,86,ZLN6
2024-12-19 00:00:00+00:00,35,1,608206,41.0,41.97,40.99,41.48,67,ZLN6
2024-12-20 00:00:00+00:00,35,1,608206,40.97,41.06,40.97,41.06,4,ZLN6
2024-12-23 00:00:00+00:00,35,1,608206,40.97,41.62,40.89,41.24,27,ZLN6
2024-12-26 00:00:00+00:00,35,1,608206,41.07,41.3,40.89,41.3,129,ZLN6
2025-01-02 00:00:00+00:00,35,1,608206,41.66,41.73,41.66,41.73,2,ZLN6
2025-01-03 00:00:00+00:00,35,1,608206,40.98,40.98,40.82,40.82,8,ZLN6
2025-01-08 00:00:00+00:00,35,1,608206,42.65,42.65,42.65,42.65,1,ZLN6
2025-01-10 00:00:00+00:00,35,1,608206,45.83,45.83,45.83,45.83,1,ZLN6
2025-01-13 00:00:00+00:00,35,1,608206,45.65,46.12,45.65,46.12,8,ZLN6
2025-01-15 00:00:00+00:00,35,1,608206,45.81,45.81,45.81,45.81,1,ZLN6
2025-01-16 00:00:00+00:00,35,1,608206,45.64,45.64,45.04,45.04,5,ZLN6
2025-01-21 00:00:00+00:00,35,1,608206,45.31,45.31,45.31,45.31,1,ZLN6
2025-01-22 00:00:00+00:00,35,1,608206,44.83,44.83,44.39,44.41,5,ZLN6
2025-01-24 00:00:00+00:00,35,1,608206,44.49,45.2,44.22,45.2,7,ZLN6
2025-01-28 00:00:00+00:00,35,1,608206,44.92,45.1,44.92,45.1,3,ZLN6
2025-01-30 00:00:00+00:00,35,1,608206,44.72,44.72,44.72,44.72,1,ZLN6
2025-01-31 00:00:00+00:00,35,1,608206,45.89,45.89,45.89,45.89,2,ZLN6
2025-02-03 00:00:00+00:00,35,1,608206,46.27,46.27,46.2,46.24,15,ZLN6
2025-02-04 00:00:00+00:00,35,1,608206,45.77,45.93,45.77,45.93,23,ZLN6
2025-02-05 00:00:00+00:00,35,1,608206,45.41,45.49,45.21,45.28,52,ZLN6
2025-02-06 00:00:00+00:00,35,1,608206,45.51,45.51,45.51,45.51,1,ZLN6
2025-02-07 00:00:00+00:00,35,1,608206,45.75,45.75,45.69,45.69,10,ZLN6
2025-02-11 00:00:00+00:00,35,1,608206,46.52,46.52,46.52,46.52,1,ZLN6
2025-02-12 00:00:00+00:00,35,1,608206,45.85,45.86,45.65,45.65,4,ZLN6
2025-02-13 00:00:00+00:00,35,1,608206,45.31,45.31,45.31,45.31,1,ZLN6
2025-02-14 00:00:00+00:00,35,1,608206,46.14,46.21,46.0,46.0,46,ZLN6
2025-02-18 00:00:00+00:00,35,1,608206,46.91,46.96,46.91,46.96,7,ZLN6
2025-02-25 00:00:00+00:00,35,1,608206,46.24,46.46,46.24,46.3,4,ZLN6
2025-02-26 00:00:00+00:00,35,1,608206,46.08,46.08,45.59,45.86,38,ZLN6
2025-02-27 00:00:00+00:00,35,1,608206,45.94,45.94,45.94,45.94,36,ZLN6
2025-02-28 00:00:00+00:00,35,1,608206,45.37,45.37,44.71,44.71,57,ZLN6
2025-03-03 00:00:00+00:00,35,1,608206,44.51,44.51,43.69,44.33,67,ZLN6
2025-03-04 00:00:00+00:00,35,1,608206,44.25,44.25,43.39,43.39,31,ZLN6
