field,value
gate_name,CARVER_DATABENTO_APPENDIX_C_66_ROW_DATED_CONTRACT_DAILY_OHLCV_QUARANTINE_INTAKE_EXECUTION_2026-05-30
run_utc,2026-05-30T20:33:43Z
intake_status,PARTIAL_DATED_CONTRACT_DAILY_OHLCV_QUARANTINE_INTAKE_FAIL_CLOSED_FOR_INCOMPLETE_OR_CONDITION_ROWS
eligible_manifest_rows,66
expected_rows_per_manifest_row,5
expected_total_rows,330
observed_sanitized_rows,380
validation_pass_rows,54
validation_fail_closed_rows,12
request_errors_count,0
provider_api_access,YES_DATABENTO_HISTORICAL_EXACT_LOCKED_REQUEST_ONLY
market_row_parsing,YES_QUARANTINE_ONLY_EXACT_PROVIDER_OUTPUT_ONLY
diagnostics_run,NO
backtests_run,NO
forecasts_run,NO
positions_run,NO
costs_run,NO
carry_run,NO
trend_run,NO
risk_calculations_run,NO
strategy_use_status,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY
