field,value
gate_name,CARVER_DATABENTO_APPENDIX_C_66_ROW_QUARANTINE_READINESS_HARDENING_2026-05-30
run_utc,2026-05-30T20:39:28Z
hardening_status,PASS_POLICY_HARDENING_65_DEV_RECON_READY_1_FAIL_CLOSED_NOT_STRATEGY_READY
input_manifest_rows,66
original_pass_rows_preserved,54
original_fail_rows_targeted,12
original_fail_rows_resolved,11
original_fail_rows_fail_closed,1
final_dev_recon_data_ready_rows,65
final_fail_closed_rows,1
diagnostics_run,NO
backtests_run,NO
forecasts_run,NO
positions_run,NO
costs_run,NO
carry_run,NO
trend_run,NO
risk_calculations_run,NO
strategy_use_status,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY
