row_id,author_market_code,candidate_symbol,candidate_kind,matched_datasets,match_count
APPENDIX_C_172_001,ZT,ZT.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_002,Z3N,Z3N.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_003,ZF,ZF.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_004,ZN,ZN.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_005,TN,TN.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_006,ZB,ZB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_007,UB,UB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_172_008,LIW,LIW.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_172_009,N1U,N1U.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_172_010,GE,GE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_001,OAT,OAT.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_001,OAT,FOAT.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_002,GBS,GBS.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_002,GBS,FGBS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_003,GBM,GBM.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_003,GBM,FGBM.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_004,GBL,GBL.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFLL.IMPACT,1
APPENDIX_C_173_004,GBL,FGBL.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_005,GBX,GBX.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_005,GBX,FGBX.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_006,BTS,BTS.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_006,BTS,FBTS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_007,BTP,BTP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_007,BTP,FBTP.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_173_008,JGB,JGB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_009,3KTB,3KTB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_010,FLKTB,FLKTB.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_173_011,FBON,FBON.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,XEUR.EOBI,1
APPENDIX_C_174_001,MYM,MYM.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_174_002,MNQ,MNQ.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_174_003,RSV,RSV.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_174_004,M2K,M2K.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_174_005,EMD,EMD.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_174_006,MES,MES.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_175_001,EOE,EOE.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_002,CAC40,CAC40.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_002,CAC40,FCE.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,,0
APPENDIX_C_175_003,DAX,DAX.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,GLBX.MDP3,1
APPENDIX_C_175_003,DAX,FDAX.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_175_004,SMI,SMI.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_004,SMI,FSMI.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_175_005,DJ200S,DJ200S.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_005,DJ200S,FXXS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_175_006,DJSD,DJSD.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_006,DJSD,FESD.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,,0
APPENDIX_C_175_007,DJ600,DJ600.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_007,DJ600,FXXP.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_175_008,ESTX50,ESTX50.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_175_008,ESTX50,FESX.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_176_001,SXAP,SXAP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_002,SXPP,SXPP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_003,SXDP,SXDP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_004,SXIP,SXIP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_005,SXEP,SXEP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_006,SX8P,SX8P.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_007,SXTP,SXTP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_176_008,SX6P,SX6P.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_001,M1MS,M1MS.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_002,XINA50,XINA50.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_002,XINA50,CN.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,,0
APPENDIX_C_177_003,XIN01,XIN01.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_004,NIFTY,NIFTY.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_004,NIFTY,IN.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,,0
APPENDIX_C_177_005,N225M,N225M.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_006,JPNK400,JPNK400.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_007,TSEMOTHR,TSEMOTHR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_008,MNTPX,MNTPX.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_009,KOSDQ150,KOSDQ150.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_010,K200,K200.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_011,SSG,SSG.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_177_012,TWN,TWN.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFLL.IMPACT,1
APPENDIX_C_177_012,TWN,TW.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_178_001,VIX,VIX.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_178_001,VIX,VX.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XCBF.PITCH,1
APPENDIX_C_178_002,V2TX,V2TX.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_178_002,V2TX,FVS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,XEUR.EOBI,1
APPENDIX_C_179_001,AUD,AUD.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFUS.IMPACT,1
APPENDIX_C_179_001,AUD,6A.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_179_002,CAD,CAD.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFUS.IMPACT,1
APPENDIX_C_179_002,CAD,6C.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_179_003,CHF,CHF.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_179_003,CHF,6S.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_179_004,EUR,EUR.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
APPENDIX_C_179_004,EUR,6E.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_179_005,GBP,GBP.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,IFLL.IMPACT,1
APPENDIX_C_179_005,GBP,6B.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,GLBX.MDP3,1
APPENDIX_C_179_006,JPY,JPY.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,,0
