row_id,appendix_table,source_group,descriptive_name,author_market_code,source_exchange,ninjatrader_mapping_status,databento_coverage_classification,databento_candidate_dataset,databento_candidate_symbol,databento_candidate_kind,databento_symbology_interval_count,expected_dataset_by_local_rule,probe_start_date,probe_end_date,schema_policy,coverage_status,substitution_policy,market_row_access_status,provider_api_accessed,diagnostics_backtests_strategy_use,notes
APPENDIX_C_172_008,172,US bond and interest rate futures,5-year US ERIS Swap,LIW,ECBOT,BLOCKED_UNAVAILABLE,DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH,,,,0,GLBX.MDP3,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,NO_COVERAGE_CANDIDATE_FOUND_METADATA_ONLY_FAIL_CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_001,173,Other bond and interest rate futures,10-year French (OAT),OAT,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FOAT.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_002,173,Other bond and interest rate futures,2-year German (Schatz),GBS,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FGBS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_003,173,Other bond and interest rate futures,5-year German (Bobl),GBM,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FGBM.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_004,173,Other bond and interest rate futures,10-year German (Bund),GBL,DTB,BLOCKED_UNAVAILABLE,DATABENTO_OTHER_DATASET_EXACT_METADATA_MATCH,IFLL.IMPACT,GBL.c.0,AUTHOR_CODE_CONTINUOUS_EXACT,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_METADATA_ONLY_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_005,173,Other bond and interest rate futures,20-year German (Buxl),GBX,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FGBX.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_006,173,Other bond and interest rate futures,3-year Italian (BTP),BTS,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FBTS.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_007,173,Other bond and interest rate futures,10-year Italian (BTP),BTP,DTB,BLOCKED_UNAVAILABLE,DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,XEUR.EOBI,FBTP.c.0,LOCAL_ALIAS_CANDIDATE_CONTINUOUS_NOT_MAPPING_LOCK,1,XEUR.EOBI,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,COVERAGE_CANDIDATE_FOUND_ALIAS_REQUIRES_SOURCE_MAPPING_LOCK_NOT_DATA_AUTHORIZATION,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_008,173,Other bond and interest rate futures,10-year Japanese (JGB),JGB,Osaka,BLOCKED_UNAVAILABLE,DATABENTO_UNAVAILABLE_NO_RELEVANT_DATASET_IDENTIFIED_FROM_PUBLISHER_LIST,,,,0,NO_DATABENTO_DATASET_IDENTIFIED_FROM_PUBLISHER_LIST,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,NO_COVERAGE_CANDIDATE_FOUND_METADATA_ONLY_FAIL_CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
APPENDIX_C_173_009,173,Other bond and interest rate futures,3-year Korea,3KTB,Korea,BLOCKED_UNAVAILABLE,DATABENTO_UNAVAILABLE_NO_RELEVANT_DATASET_IDENTIFIED_FROM_PUBLISHER_LIST,,,,0,NO_DATABENTO_DATASET_IDENTIFIED_FROM_PUBLISHER_LIST,2026-05-27,2026-05-29,METADATA_SYMBOLOGY_ONLY_NO_OHLCV_REQUEST,NO_COVERAGE_CANDIDATE_FOUND_METADATA_ONLY_FAIL_CLOSED,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,NO_MARKET_ROW_ACCESS,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,NO,Continuous symbology probe is coverage evidence only; alias candidates require separate source/provider mapping lock before any market data intake.
