status_key,status_value,status_scope
execution_status,DATABENTO_APPENDIX_C_METADATA_SYMBOLOGY_COVERAGE_PROBE_COMPLETE,METADATA_ONLY
appendix_c_rows,102,METADATA_ONLY
provider_api_access,YES_DATABENTO_METADATA_SYMBOLOGY_ONLY,METADATA_ONLY
ohlcv_data_downloaded,NO,METADATA_ONLY
market_rows_parsed,NO,METADATA_ONLY
diagnostics_backtests_forecasts_positions_costs_carry_trend_risk,NO,METADATA_ONLY
git_or_remote_operations,NO,METADATA_ONLY
coverage_DATABENTO_ALIAS_REQUIRED_METADATA_MATCH,17,METADATA_ONLY
coverage_DATABENTO_EXACT_METADATA_MATCH,48,METADATA_ONLY
coverage_DATABENTO_OTHER_DATASET_EXACT_METADATA_MATCH,5,METADATA_ONLY
coverage_DATABENTO_UNAVAILABLE_NO_RELEVANT_DATASET_IDENTIFIED_FROM_PUBLISHER_LIST,16,METADATA_ONLY
coverage_DATABENTO_UNAVAILABLE_OR_UNRESOLVED_NO_METADATA_MATCH,16,METADATA_ONLY
ninjatrader_blocked_or_variant_rows_with_databento_metadata_candidate,33,METADATA_ONLY
