status_key,status_value,status_scope
patch_status,DATABENTO_APPENDIX_C_PROVIDER_COVERAGE_PATCH_COMPLETE_METADATA_ONLY,PRE_REAL_DATA
appendix_c_rows,102,PRE_REAL_DATA
source_coverage_ledger_sha256,A12C83CE0735B3744E62A8EF8F3DCBA30A5130F2A0A3B18B5862F92E99FF19C3,PRE_REAL_DATA
provider_api_access,NO_NEW_PROVIDER_API_ACCESS_FOR_PATCH_USED_EXISTING_METADATA_PROBE,PRE_REAL_DATA
ohlcv_data_downloaded,NO,PRE_REAL_DATA
market_rows_parsed,NO,PRE_REAL_DATA
diagnostics_backtests_forecasts_positions_costs_carry_trend_risk,NO,PRE_REAL_DATA
git_or_remote_operations,NO,PRE_REAL_DATA
provider_patch_DATABENTO_ALIAS_METADATA_CANDIDATE_FAIL_CLOSED_PENDING_MAPPING_LOCK,17,PRE_REAL_DATA
provider_patch_DATABENTO_EXACT_METADATA_CANDIDATE_NOT_DATA_READY,53,PRE_REAL_DATA
provider_patch_DATABENTO_NO_COVERAGE_CANDIDATE_FAIL_CLOSED,32,PRE_REAL_DATA
recovery_NINJATRADER_ALREADY_MAPPED_REVIEW_REQUIRED_OR_NOT_BLOCKED,41,PRE_REAL_DATA
recovery_NOT_RECOVERED_FROM_NINJATRADER_BLOCKED,28,PRE_REAL_DATA
recovery_PARTIAL_RECOVERY_FROM_NINJATRADER_BLOCKED_BY_DATABENTO_ALIAS_CANDIDATE,17,PRE_REAL_DATA
recovery_RECOVERED_FROM_NINJATRADER_BLOCKED_BY_DATABENTO_EXACT_METADATA_CANDIDATE,16,PRE_REAL_DATA
next_gate_ALTERNATE_PROVIDER_OR_SOURCE_BLOCKAGE_DECISION_GATE,32,PRE_REAL_DATA
next_gate_DATABENTO_ALIAS_MAPPING_EVIDENCE_GATE,17,PRE_REAL_DATA
next_gate_DATABENTO_EXACT_CONTRACT_IDENTITY_AND_DATASET_READINESS_GATE,53,PRE_REAL_DATA
