status_key,status_value,status_scope
execution_status,FAIL_CLOSED_NO_LOCAL_CONTINUOUS_SERIES_CONSTRUCTED_GATE1_FRAGMENT_LACKS_ADJACENT_CONTRACT_OVERLAP,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
manifest_symbol_count,16,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
gate1_fragment_row_count,4483,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
symbols_with_roll_plan_blocked,16,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
symbols_with_constructed_continuous_series,0,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
source_lineage_row_count,0,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
adjustment_ledger_row_count,0,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
continuous_series_row_count,0,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
daily_price_field,DATABENTO_OHLCV_1D_CLOSE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
daily_price_semantics,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_timestamp_policy,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
completed_trading_date_policy,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
settlement_policy,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_api_access,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_login,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
new_data_download,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_built_continuous_used_as_source,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
continuous_contract_download,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
market_row_parsing_scope,EXISTING_GATE1_FRAGMENT_OR_SEPARATELY_AUTHORIZED_DATED_EXPANSION_ONLY,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
strategy_input_created,NO_UNTIL_EXECUTION_AUDIT_AND_SEPARATE_STRATEGY_INPUT_GATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
diagnostics_run,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
backtests_run,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
forecasts_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
positions_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
costs_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
carry_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
trend_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
volatility_or_risk_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
oos_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
lockbox_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
forward_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
git_or_remote_operations,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
next_required_gate,CARVER_16_SYMBOL_DATED_CONTRACT_ROLL_PAIR_EXPANSION_SHAPE_GATE_OR_EXECUTION_GATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
