book_symbol,previous_contract,current_contract,next_contract,previous_normal_rows,current_normal_rows,next_normal_rows,previous_current_overlap_normal_dates,current_next_overlap_normal_dates,previous_current_first_overlap,previous_current_last_overlap,current_next_first_overlap,current_next_last_overlap,adjacent_roll_pair_data_status
ZT,ZTH6,ZTM6,ZTU6,122,138,75,85,74,2025-11-05,2026-03-31,2026-01-21,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZF,ZFH6,ZFM6,ZFU6,123,143,55,91,55,2025-11-19,2026-03-31,2026-03-04,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZN,ZNH6,ZNM6,ZNU6,117,161,105,103,105,2025-11-03,2026-03-20,2026-01-16,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
MES,MESH6,MESM6,MESU6,117,173,139,115,139,2025-11-02,2026-03-20,2025-11-04,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
MNQ,MNQH6,MNQM6,MNQU6,117,175,141,117,141,2025-11-02,2026-03-20,2025-11-05,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
M2K,M2KH6,M2KM6,M2KU6,117,166,107,108,107,2025-11-04,2026-03-20,2025-11-20,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
MYM,MYMH6,MYMM6,MYMU6,117,170,109,112,109,2025-11-03,2026-03-20,2025-12-04,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
QM,QMM6,QMN6,QMQ6,126,111,89,89,83,2025-11-05,2026-05-18,2025-11-12,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
RB,RBM6,RBN6,RBQ6,170,165,159,164,159,2025-11-03,2026-05-29,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZC,ZCK6,ZCN6,ZCU6,130,140,140,130,140,2025-11-03,2026-05-14,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZS,ZSK6,ZSN6,ZSQ6,130,140,140,130,140,2025-11-03,2026-05-14,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZM,ZMK6,ZMN6,ZMQ6,129,140,140,129,140,2025-11-03,2026-05-13,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZL,ZLK6,ZLN6,ZLQ6,129,140,140,129,140,2025-11-03,2026-05-13,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
ZW,ZWK6,ZWN6,ZWU6,129,140,140,129,140,2025-11-03,2026-05-13,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
HE,HEK6,HEM6,HEN6,130,140,140,130,140,2025-11-03,2026-05-14,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
LE,LEJ6,LEM6,LEQ6,120,140,140,120,140,2025-11-03,2026-04-30,2025-11-03,2026-05-29,ADJACENT_OLD_NEW_NORMAL_ROWS_AVAILABLE
