status_key,status_value,status_scope
execution_status,LOCAL_CONTINUOUS_DAILY_LINEAGE_RERUN_FAIL_CLOSED_LIFECYCLE_EVIDENCE_MISSING_NO_SERIES_CONSTRUCTED,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
roll_chain_expansion_rows,6532,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
normal_provider_condition_rows,6364,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
degraded_or_missing_provider_condition_rows_excluded,168,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
adjacent_previous_current_pairs_with_normal_overlap,16,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
daily_price_field,DATABENTO_OHLCV_1D_CLOSE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
daily_price_semantics,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_timestamp_policy,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
completed_trading_date_policy,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
settlement_policy,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_api_access,NO_LOCAL_RERUN_USED_EXISTING_AUTHORIZED_EXPANSION_ARTIFACTS,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
new_data_download,NO_LOCAL_RERUN_ONLY,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
provider_built_continuous_used_as_source,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
continuous_series_constructed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
market_row_parsing_scope,EXISTING_GATE1_FRAGMENT_OR_SEPARATELY_AUTHORIZED_DATED_EXPANSION_ONLY,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
strategy_input_created,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
diagnostics_run,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
backtests_run,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
forecasts_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
positions_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
costs_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
carry_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
trend_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
volatility_or_risk_computed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
oos_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
lockbox_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
forward_accessed,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
git_or_remote_operations,NO,LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY
