row_id,provider_symbol,local_contract,ninjatrader_contract,row_count,first_completed_trading_date,last_completed_trading_date,status,failures
APPENDIX_C_172_001,ZT,ZT 06-26,ZT JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZT JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_172_003,ZF,ZF 06-26,ZF JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZF JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_172_004,ZN,ZN 06-26,ZN JUN26,258,2025-05-30,2026-05-28,ACCEPTED_QUARANTINE_HELPER_RAW_AVAILABLE,""
APPENDIX_C_174_006,MES,MES 06-26,MES JUN26,258,2025-05-30,2026-05-28,ACCEPTED_QUARANTINE_HELPER_RAW_AVAILABLE,""
APPENDIX_C_174_002,MNQ,MNQ 06-26,MNQ JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"MNQ JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_174_004,M2K,M2K 06-26,M2K JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"M2K JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_174_001,MYM,MYM 06-26,MYM JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"MYM JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_182_002,QM,QM 07-26,QM JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"QM JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_182_004,RB,RB 07-26,RB JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"RB JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_003,ZC,ZC 07-26,ZC JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZC JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_010,ZS,ZS 07-26,ZS JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZS JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_011,ZM,ZM 07-26,ZM JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZM JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_012,ZL,ZL 07-26,ZL JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZL JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_013,ZW,ZW 07-26,ZW JUL26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"ZW JUL26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_005,HE,HE 06-26,HE JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"HE JUN26 returned zero loaded completed daily bars for full-history helper attempt"
APPENDIX_C_183_006,LE,LE 06-26,LE JUN26,0,,,BLOCKED_PROVIDER_UNAVAILABLE_OR_NOT_LOADED,"LE JUN26 returned zero loaded completed daily bars for full-history helper attempt"
